Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Hewlett-Packard Company,Time,IBM Corp,Time,Intel Corporate,Time,"Apple, Inc",Time,DrayTek Corp.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Liteon Tech Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"NETGEAR INC.,",Time,Enerpoint Ltd.,Time,Hewlett Packard,Time,"Murata Manufactuaring Co.,Ltd.",Time,D-LINK INTERNATIONAL PTE LIMITED,Time,"Samsung Electronics Co.,Ltd",Time,PEGATRON CORPORATION,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"Apple, Inc.",Time,HTC Corporation,Time,WISOL,Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electro Mechanics co.,LTD.",Time,Liteon Technology Corporation,Time,Nokia Corporation
357,10,357,1,357,1,357,1,357,10,357,1,357,2,357,5,357,1,357,11,357,2,357,2,360,1,360,2,360,1,360,1,360,2,365,1,365,1,365,1,369,5,377,1,382,1,394,3,407,0,419,0,419,1,500,1,500,1,583,1,588,0,596,0,629,0,,,,,,,,,,
360,10,360,1,360,1,360,1,360,10,360,1,360,2,360,5,360,1,360,11,360,2,360,2,365,1,365,2,365,1,365,1,365,2,369,1,369,1,369,1,373,5,382,1,386,1,398,3,412,0,424,0,424,1,504,1,504,2,588,1,592,0,600,0,633,0,,,,,,,,,,
365,10,365,1,365,1,365,1,365,10,365,1,365,2,365,5,365,1,365,11,365,2,365,2,369,1,369,2,369,1,369,1,369,3,373,1,373,1,373,0,377,5,386,1,390,1,403,2,415,0,428,0,428,1,508,1,508,2,592,1,596,0,604,0,638,0,,,,,,,,,,
369,10,369,1,369,1,369,1,369,10,369,1,369,2,369,5,369,1,369,12,369,2,369,2,373,1,373,2,373,1,373,1,373,3,377,1,377,1,377,0,382,5,390,1,394,1,407,2,419,0,432,0,432,1,511,1,511,2,596,1,600,0,608,0,642,0,,,,,,,,,,
373,10,373,1,373,1,373,1,373,9,373,1,373,2,373,5,373,1,373,11,373,2,373,2,377,1,377,2,377,1,377,1,377,3,382,1,382,1,382,0,386,4,394,1,398,1,412,2,424,0,436,0,436,1,515,1,515,1,600,1,604,0,612,0,646,1,,,,,,,,,,
377,10,377,1,377,1,377,1,377,10,377,1,377,2,377,5,377,1,377,12,377,2,377,2,382,1,382,2,382,1,382,1,382,3,386,1,386,1,386,0,390,4,398,1,403,1,415,2,428,0,441,0,441,1,520,1,520,1,604,1,608,0,617,0,650,1,,,,,,,,,,
382,10,382,1,382,1,382,1,382,10,382,1,382,2,382,5,382,1,382,12,382,2,382,2,386,1,386,2,386,1,386,1,386,2,390,1,390,1,390,0,394,4,403,1,407,1,419,2,432,0,445,0,445,1,524,1,524,1,608,1,612,0,621,0,654,1,,,,,,,,,,
386,10,386,1,386,1,386,1,386,10,386,1,386,2,386,5,386,1,386,11,386,2,386,2,390,1,390,3,390,1,390,1,390,2,394,1,394,1,394,0,398,4,407,1,412,1,424,1,436,0,449,0,449,1,528,1,528,1,612,1,617,0,625,0,659,1,,,,,,,,,,
390,10,390,1,390,1,390,1,390,9,390,1,390,2,390,5,390,1,390,10,390,2,390,2,394,1,394,3,394,1,394,2,394,2,398,1,398,1,398,0,403,4,412,1,415,1,428,1,441,0,454,0,454,1,532,1,532,1,617,1,621,0,629,0,663,1,,,,,,,,,,
394,10,394,1,394,1,394,1,394,9,394,1,394,2,394,4,394,1,394,10,394,2,394,2,398,1,398,3,398,1,398,2,398,2,403,1,403,1,403,0,407,4,415,1,419,1,432,1,445,0,457,0,457,1,537,1,537,1,621,1,625,0,633,0,668,1,,,,,,,,,,
398,10,398,1,398,1,398,1,398,9,398,1,398,2,398,4,398,1,398,10,398,2,398,2,403,1,403,3,403,1,403,3,403,2,407,1,407,1,407,0,412,4,419,1,424,1,436,1,449,0,462,0,462,1,541,1,541,1,625,1,629,0,638,0,672,1,,,,,,,,,,
403,10,403,1,403,1,403,1,403,9,403,1,403,2,403,4,403,1,403,10,403,2,403,2,407,1,407,3,407,1,407,3,407,2,412,1,412,1,412,0,415,4,424,1,428,1,441,1,454,0,466,0,466,1,546,1,546,1,629,1,633,0,642,0,676,1,,,,,,,,,,
407,10,407,2,407,1,407,1,407,10,407,1,407,2,407,4,407,1,407,10,407,2,407,2,412,1,412,3,412,1,412,3,412,2,415,1,415,1,415,0,419,4,428,1,432,1,445,1,457,0,470,0,470,1,550,1,550,1,633,1,638,0,646,0,680,1,,,,,,,,,,
412,10,412,2,412,1,412,1,412,10,412,1,412,2,412,4,412,1,412,10,412,2,412,2,415,1,415,4,415,1,415,3,415,2,419,1,419,1,419,0,424,4,432,2,436,1,449,1,462,0,474,0,474,1,554,1,554,1,638,1,642,0,650,0,684,1,,,,,,,,,,
415,10,415,2,415,1,415,1,415,11,415,1,415,2,415,4,415,1,415,10,415,2,415,2,419,1,419,4,419,1,419,3,419,2,424,1,424,1,424,0,428,4,436,2,441,1,454,0,466,0,479,0,479,1,558,1,558,1,642,1,646,0,654,0,688,1,,,,,,,,,,
419,10,419,2,419,1,419,1,419,11,419,1,419,2,419,4,419,1,419,9,419,2,419,1,424,1,424,4,424,1,424,3,424,2,428,1,428,1,428,0,432,4,441,2,445,1,457,0,470,0,483,0,483,1,562,1,562,1,646,1,650,0,659,0,692,1,,,,,,,,,,
424,10,424,2,424,1,424,1,424,11,424,1,424,2,424,4,424,1,424,8,424,2,424,1,428,1,428,4,428,1,428,3,428,2,432,1,432,1,432,0,436,4,445,2,449,1,462,0,474,0,487,0,487,1,566,0,566,1,650,1,654,0,663,0,697,1,,,,,,,,,,
428,10,428,2,428,1,428,1,428,11,428,1,428,2,428,5,428,1,428,8,428,2,428,1,432,1,432,4,432,1,432,3,432,2,436,1,436,1,436,0,441,4,449,2,454,1,466,0,479,0,491,0,491,1,570,0,570,1,654,1,659,0,668,0,701,1,,,,,,,,,,
432,10,432,2,432,1,432,1,432,10,432,1,432,2,432,5,432,1,432,8,432,2,432,1,436,1,436,4,436,1,436,3,436,2,441,1,441,1,441,0,445,4,454,2,457,1,470,0,483,0,496,0,496,1,574,0,574,1,659,1,663,0,672,0,706,1,,,,,,,,,,
436,10,436,2,436,1,436,1,436,10,436,1,436,2,436,5,436,1,436,8,436,2,436,1,441,1,441,4,441,1,441,3,441,1,445,1,445,1,445,0,449,4,457,2,462,1,474,0,487,0,500,0,500,1,579,0,579,1,663,1,668,0,676,0,710,1,,,,,,,,,,
441,10,441,2,441,1,441,1,441,8,441,1,441,2,441,5,441,1,441,8,441,2,441,1,445,1,445,4,445,1,445,3,445,1,449,1,449,1,449,0,454,4,462,2,466,1,479,0,491,0,504,0,504,1,583,0,583,1,668,1,672,0,680,0,714,1,,,,,,,,,,
445,10,445,3,445,1,445,1,445,8,445,1,445,2,445,5,445,1,445,8,445,2,445,1,449,1,449,4,449,1,449,3,449,1,454,1,454,1,454,0,457,4,466,2,470,1,483,1,496,1,508,0,508,1,588,0,588,1,672,1,676,0,684,0,718,1,,,,,,,,,,
449,10,449,3,449,1,449,1,449,8,449,1,449,2,449,5,449,1,449,8,449,2,449,1,454,1,454,4,454,1,454,3,454,1,457,1,457,1,457,0,462,4,470,2,474,1,487,1,500,1,511,0,511,1,592,0,592,1,676,1,680,0,688,0,722,1,,,,,,,,,,
454,10,454,3,454,1,454,1,454,9,454,1,454,2,454,5,454,1,454,8,454,2,454,1,457,1,457,4,457,1,457,3,457,1,462,1,462,1,462,0,466,4,474,2,479,1,491,1,504,1,515,0,515,1,596,0,596,1,680,1,684,0,692,0,727,1,,,,,,,,,,
457,10,457,3,457,1,457,1,457,9,457,1,457,2,457,5,457,1,457,8,457,2,457,1,462,1,462,4,462,1,462,3,462,1,466,1,466,1,466,0,470,4,479,2,483,1,496,1,508,1,520,0,520,1,600,0,600,1,684,1,688,1,697,0,,,,,,,,,,,,
462,10,462,3,462,1,462,1,462,9,462,1,462,2,462,5,462,1,462,8,462,2,462,1,466,1,466,3,466,1,466,3,466,1,470,1,470,1,470,0,474,4,483,2,487,1,500,1,511,1,524,0,524,1,604,0,604,1,688,1,692,1,701,0,,,,,,,,,,,,
466,10,466,3,466,1,466,1,466,8,466,1,466,2,466,5,466,1,466,9,466,2,466,1,470,1,470,3,470,1,470,3,470,1,474,1,474,1,474,0,479,4,487,2,491,1,504,1,515,1,528,0,528,1,608,0,608,1,692,1,697,1,706,0,,,,,,,,,,,,
470,10,470,3,470,1,470,1,470,8,470,1,470,2,470,5,470,1,470,9,470,2,470,1,474,1,474,3,474,1,474,3,474,1,479,1,479,1,479,0,483,2,491,2,496,1,508,1,520,1,532,0,532,1,612,0,612,1,697,1,701,1,710,0,,,,,,,,,,,,
474,10,474,3,474,1,474,1,474,9,474,1,474,2,474,5,474,1,474,9,474,2,474,1,479,1,479,3,479,1,479,3,479,1,483,1,483,1,483,0,487,2,496,2,500,1,511,1,524,1,537,0,537,1,617,0,617,1,701,1,706,1,714,0,,,,,,,,,,,,
479,10,479,3,479,1,479,1,479,9,479,1,479,2,479,5,479,1,479,9,479,2,479,1,483,1,483,3,483,1,483,3,483,1,487,1,487,0,487,0,491,2,500,2,504,1,515,2,528,1,541,0,541,1,621,0,621,1,706,1,710,1,718,0,,,,,,,,,,,,
483,10,483,3,483,1,483,1,483,9,483,1,483,2,483,5,483,1,483,9,483,2,483,1,487,1,487,3,487,1,487,3,487,1,491,1,491,0,491,1,496,2,504,2,508,1,520,2,532,1,546,0,546,1,625,0,625,1,710,1,714,1,722,0,,,,,,,,,,,,
487,10,487,3,487,1,487,1,487,10,487,1,487,2,487,5,487,1,487,9,487,2,487,1,491,1,491,3,491,1,491,3,491,1,496,1,496,0,496,1,500,2,508,2,511,1,524,2,537,1,550,0,550,1,629,0,629,0,714,1,718,1,727,0,,,,,,,,,,,,
491,10,491,3,491,1,491,1,491,10,491,1,491,2,491,5,491,1,491,8,491,2,491,1,496,1,496,3,496,1,496,3,496,1,500,1,500,0,500,1,504,2,511,2,515,1,528,3,541,1,554,0,554,0,633,0,633,0,718,1,722,1,,,,,,,,,,,,,,
496,10,496,3,496,1,496,1,496,11,496,1,496,2,496,5,496,1,496,8,496,2,496,1,500,1,500,3,500,1,500,3,500,2,504,1,504,0,504,1,508,2,515,2,520,1,532,3,546,1,558,0,558,0,638,0,638,0,722,1,727,1,,,,,,,,,,,,,,
500,10,500,3,500,1,500,1,500,10,500,1,500,2,500,5,500,1,500,9,500,2,500,1,504,1,504,3,504,1,504,3,504,2,508,1,508,0,508,1,511,2,520,2,524,1,537,3,550,1,562,0,562,0,642,0,642,0,727,0,,,,,,,,,,,,,,,,
504,10,504,3,504,1,504,1,504,10,504,1,504,2,504,5,504,1,504,8,504,2,504,1,508,1,508,3,508,1,508,3,508,2,511,1,511,0,511,1,515,2,524,2,528,1,541,4,554,1,566,0,566,0,646,0,646,0,,,,,,,,,,,,,,,,,,
508,10,508,3,508,1,508,1,508,10,508,1,508,2,508,5,508,1,508,8,508,2,508,1,511,1,511,3,511,1,511,3,511,2,515,1,515,1,515,1,520,2,528,2,532,1,546,4,558,1,570,0,570,0,650,0,650,0,,,,,,,,,,,,,,,,,,
511,10,511,3,511,1,511,1,511,10,511,1,511,2,511,5,511,1,511,7,511,2,511,1,515,1,515,3,515,1,515,2,515,2,520,1,520,1,520,1,524,2,532,2,537,1,550,4,562,1,574,0,574,0,654,0,654,0,,,,,,,,,,,,,,,,,,
515,10,515,3,515,1,515,1,515,10,515,1,515,2,515,5,515,1,515,7,515,2,515,1,520,1,520,3,520,1,520,2,520,2,524,1,524,1,524,1,528,2,537,2,541,1,554,4,566,1,579,0,579,0,659,0,659,0,,,,,,,,,,,,,,,,,,
520,10,520,3,520,1,520,1,520,9,520,1,520,2,520,5,520,1,520,7,520,2,520,1,524,1,524,3,524,1,524,2,524,2,528,1,528,1,528,1,532,2,541,2,546,1,558,4,570,1,583,0,583,0,663,0,663,0,,,,,,,,,,,,,,,,,,
524,10,524,3,524,1,524,1,524,9,524,1,524,2,524,5,524,1,524,7,524,2,524,1,528,1,528,3,528,1,528,2,528,2,532,1,532,1,532,1,537,1,546,2,550,1,562,4,574,1,588,0,588,0,668,0,668,0,,,,,,,,,,,,,,,,,,
528,10,528,3,528,1,528,1,528,8,528,1,528,2,528,5,528,1,528,7,528,2,528,2,532,1,532,3,532,1,532,2,532,2,537,1,537,1,537,1,541,1,550,2,554,1,566,4,579,1,592,0,592,0,672,0,672,0,,,,,,,,,,,,,,,,,,
532,10,532,3,532,1,532,1,532,8,532,1,532,2,532,5,532,1,532,8,532,2,532,2,537,1,537,3,537,1,537,2,537,2,541,1,541,1,541,1,546,2,554,1,558,1,570,4,583,1,596,0,596,0,676,0,676,0,,,,,,,,,,,,,,,,,,
537,10,537,3,537,1,537,1,537,7,537,1,537,2,537,5,537,1,537,8,537,2,537,2,541,1,541,3,541,1,541,2,541,2,546,1,546,1,546,1,550,2,558,1,562,1,574,4,588,1,600,0,600,0,680,0,680,0,,,,,,,,,,,,,,,,,,
541,10,541,3,541,1,541,1,541,7,541,1,541,2,541,5,541,1,541,8,541,2,541,2,546,1,546,3,546,1,546,2,546,2,550,1,550,1,550,1,554,2,562,1,566,1,579,4,592,1,604,0,604,0,684,0,684,0,,,,,,,,,,,,,,,,,,
546,10,546,3,546,1,546,1,546,7,546,1,546,2,546,5,546,1,546,8,546,2,546,2,550,1,550,3,550,1,550,2,550,2,554,1,554,1,554,1,558,2,566,1,570,1,583,5,596,1,608,0,608,0,688,0,688,0,,,,,,,,,,,,,,,,,,
550,10,550,3,550,1,550,1,550,7,550,1,550,2,550,5,550,1,550,8,550,2,550,2,554,1,554,2,554,1,554,2,554,2,558,1,558,1,558,1,562,2,570,1,574,1,588,5,600,1,612,0,612,0,692,0,692,0,,,,,,,,,,,,,,,,,,
554,10,554,3,554,1,554,1,554,7,554,1,554,2,554,5,554,1,554,8,554,2,554,2,558,1,558,2,558,1,558,2,558,2,562,1,562,1,562,1,566,2,574,1,579,1,592,5,604,1,617,0,617,0,697,0,697,0,,,,,,,,,,,,,,,,,,
558,10,558,3,558,1,558,1,558,7,558,1,558,2,558,5,558,1,558,8,558,2,558,2,562,1,562,2,562,1,562,2,562,2,566,1,566,1,566,1,570,2,579,1,583,1,596,5,608,1,621,0,621,0,701,0,701,0,,,,,,,,,,,,,,,,,,
562,10,562,3,562,1,562,1,562,7,562,1,562,2,562,5,562,1,562,8,562,2,562,2,566,1,566,2,566,1,566,2,566,2,570,1,570,1,570,1,574,2,583,1,588,1,600,5,612,1,625,0,625,0,706,0,706,0,,,,,,,,,,,,,,,,,,
566,10,566,3,566,1,566,1,566,6,566,1,566,2,566,5,566,1,566,7,566,2,566,2,570,1,570,2,570,1,570,2,570,2,574,1,574,1,574,1,579,2,588,1,592,1,604,4,617,0,629,0,629,0,710,0,710,0,,,,,,,,,,,,,,,,,,
570,10,570,3,570,1,570,1,570,6,570,1,570,2,570,5,570,1,570,7,570,2,570,3,574,1,574,2,574,1,574,2,574,2,579,1,579,1,579,1,583,2,592,1,596,1,608,4,621,0,633,0,633,0,714,0,714,0,,,,,,,,,,,,,,,,,,
574,10,574,2,574,1,574,1,574,6,574,1,574,2,574,5,574,1,574,7,574,2,574,3,579,1,579,2,579,1,579,2,579,2,583,1,583,1,583,1,588,2,596,1,600,1,612,4,625,0,638,0,638,0,718,0,718,0,,,,,,,,,,,,,,,,,,
579,10,579,2,579,1,579,1,579,6,579,1,579,2,579,5,579,1,579,8,579,2,579,3,583,1,583,2,583,1,583,2,583,2,588,1,588,2,588,1,592,2,600,1,604,1,617,4,629,0,642,0,642,0,722,0,722,0,,,,,,,,,,,,,,,,,,
583,10,583,2,583,1,583,1,583,6,583,1,583,2,583,5,583,1,583,8,583,2,583,3,588,1,588,2,588,1,588,2,588,2,592,1,592,2,592,1,596,2,604,1,608,1,621,4,633,0,646,0,646,0,727,0,727,0,,,,,,,,,,,,,,,,,,
588,10,588,2,588,1,588,1,588,6,588,1,588,2,588,5,588,1,588,8,588,2,588,3,592,1,592,2,592,1,592,2,592,2,596,1,596,2,596,1,600,2,608,1,612,1,625,4,638,0,650,0,650,0,,,,,,,,,,,,,,,,,,,,,,
592,10,592,2,592,1,592,1,592,6,592,1,592,2,592,5,592,1,592,8,592,2,592,3,596,1,596,2,596,1,596,2,596,2,600,1,600,2,600,1,604,2,612,1,617,1,629,4,642,0,654,0,654,0,,,,,,,,,,,,,,,,,,,,,,
596,10,596,2,596,1,596,1,596,6,596,1,596,2,596,5,596,1,596,8,596,2,596,3,600,1,600,2,600,1,600,2,600,2,604,1,604,2,604,1,608,2,617,1,621,1,633,4,646,0,659,0,659,0,,,,,,,,,,,,,,,,,,,,,,
600,10,600,2,600,1,600,1,600,6,600,1,600,2,600,5,600,1,600,8,600,2,600,3,604,1,604,2,604,1,604,2,604,2,608,1,608,2,608,1,612,2,621,1,625,1,638,4,650,0,663,1,663,0,,,,,,,,,,,,,,,,,,,,,,
604,10,604,2,604,1,604,1,604,6,604,1,604,2,604,5,604,1,604,8,604,2,604,3,608,1,608,2,608,1,608,2,608,2,612,1,612,2,612,1,617,3,625,1,629,1,642,4,654,0,668,1,668,0,,,,,,,,,,,,,,,,,,,,,,
608,10,608,2,608,1,608,1,608,5,608,1,608,2,608,5,608,1,608,8,608,2,608,3,612,1,612,2,612,1,612,2,612,2,617,1,617,2,617,1,621,3,629,1,633,1,646,4,659,0,672,1,672,0,,,,,,,,,,,,,,,,,,,,,,
612,10,612,2,612,1,612,1,612,5,612,1,612,2,612,5,612,1,612,7,612,2,612,3,617,1,617,2,617,1,617,2,617,2,621,1,621,2,621,1,625,3,633,1,638,1,650,3,663,0,676,1,676,0,,,,,,,,,,,,,,,,,,,,,,
617,10,617,2,617,1,617,1,617,5,617,1,617,2,617,5,617,1,617,7,617,2,617,3,621,1,621,2,621,1,621,2,621,2,625,1,625,2,625,1,629,3,638,1,642,1,654,3,668,0,680,1,680,0,,,,,,,,,,,,,,,,,,,,,,
621,10,621,2,621,1,621,1,621,5,621,1,621,2,621,5,621,1,621,7,621,2,621,3,625,1,625,2,625,1,625,2,625,2,629,1,629,2,629,1,633,3,642,1,646,1,659,3,672,1,684,1,684,0,,,,,,,,,,,,,,,,,,,,,,
625,10,625,3,625,1,625,1,625,5,625,1,625,2,625,5,625,1,625,7,625,2,625,3,629,1,629,2,629,1,629,2,629,2,633,1,633,2,633,1,638,3,646,1,650,1,663,2,676,1,688,1,688,0,,,,,,,,,,,,,,,,,,,,,,
629,10,629,3,629,1,629,1,629,4,629,1,629,2,629,5,629,1,629,7,629,2,629,3,633,1,633,0,633,1,633,2,633,2,638,1,638,2,638,1,642,3,650,1,654,1,668,2,680,1,692,1,692,0,,,,,,,,,,,,,,,,,,,,,,
633,10,633,3,633,1,633,1,633,4,633,1,633,2,633,5,633,1,633,7,633,2,633,3,638,1,638,0,638,1,638,2,638,2,642,1,642,2,642,1,646,3,654,1,659,1,672,2,684,1,697,1,697,0,,,,,,,,,,,,,,,,,,,,,,
638,10,638,3,638,1,638,1,638,4,638,1,638,2,638,5,638,1,638,7,638,2,638,3,642,1,642,0,642,1,642,3,642,2,646,1,646,1,646,1,650,3,659,1,663,1,676,2,688,1,701,1,701,0,,,,,,,,,,,,,,,,,,,,,,
642,10,642,3,642,1,642,1,642,4,642,1,642,2,642,5,642,1,642,8,642,2,642,3,646,1,646,1,646,3,646,3,646,2,650,1,650,1,650,1,654,3,663,1,668,1,680,2,692,1,706,1,706,0,,,,,,,,,,,,,,,,,,,,,,
646,10,646,3,646,1,646,1,646,4,646,1,646,2,646,5,646,1,646,8,646,2,646,3,650,1,650,1,650,3,650,3,650,2,654,1,654,1,654,1,659,3,668,1,672,1,684,2,697,1,710,1,710,0,,,,,,,,,,,,,,,,,,,,,,
650,10,650,3,650,1,650,1,650,4,650,1,650,2,650,5,650,1,650,8,650,2,650,2,654,1,654,1,654,3,654,3,654,2,659,1,659,1,659,1,663,3,672,1,676,1,688,3,701,1,714,1,714,0,,,,,,,,,,,,,,,,,,,,,,
654,10,654,3,654,1,654,1,654,4,654,1,654,2,654,5,654,1,654,7,654,2,654,2,659,1,659,1,659,3,659,3,659,2,663,1,663,1,663,1,668,4,676,1,680,1,692,3,706,1,718,1,718,0,,,,,,,,,,,,,,,,,,,,,,
659,10,659,3,659,1,659,1,659,5,659,1,659,2,659,5,659,1,659,7,659,2,659,2,663,1,663,1,663,3,663,3,663,2,668,1,668,1,668,1,672,4,680,1,684,1,697,3,710,1,722,1,722,0,,,,,,,,,,,,,,,,,,,,,,
663,10,663,3,663,1,663,1,663,5,663,1,663,2,663,4,663,1,663,7,663,2,663,2,668,1,668,1,668,3,668,3,668,2,672,1,672,1,672,1,676,4,684,1,688,0,701,2,714,1,727,1,727,0,,,,,,,,,,,,,,,,,,,,,,
668,7,668,3,668,1,668,1,668,5,668,1,668,2,668,4,668,1,668,7,668,2,668,2,672,1,672,1,672,3,672,3,672,2,676,1,676,1,676,1,680,4,688,1,692,0,706,1,718,1,,,,,,,,,,,,,,,,,,,,,,,,,,
672,7,672,3,672,1,672,1,672,5,672,1,672,2,672,4,672,1,672,7,672,2,672,2,676,1,676,1,676,3,676,3,676,2,680,1,680,1,680,1,684,5,692,1,697,0,710,1,722,1,,,,,,,,,,,,,,,,,,,,,,,,,,
676,7,676,3,676,1,676,1,676,5,676,1,676,2,676,4,676,1,676,7,676,2,676,2,680,1,680,1,680,3,680,3,680,2,684,1,684,1,684,1,688,5,697,1,701,0,714,1,727,1,,,,,,,,,,,,,,,,,,,,,,,,,,
680,6,680,3,680,1,680,1,680,5,680,1,680,2,680,4,680,1,680,7,680,2,680,2,684,1,684,1,684,3,684,3,684,2,688,1,688,1,688,1,692,5,701,1,706,0,718,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,6,684,3,684,1,684,1,684,5,684,1,684,2,684,5,684,1,684,7,684,2,684,2,688,1,688,1,688,3,688,3,688,2,692,1,692,1,692,1,697,5,706,1,710,1,722,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,6,688,2,688,1,688,1,688,5,688,1,688,2,688,5,688,1,688,7,688,2,688,2,692,1,692,2,692,3,692,3,692,2,697,1,697,1,697,1,701,5,710,1,714,1,727,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,6,692,2,692,1,692,1,692,5,692,1,692,2,692,5,692,1,692,7,692,2,692,1,697,1,697,2,697,3,697,3,697,2,701,1,701,1,701,1,706,5,714,1,718,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,6,697,2,697,1,697,1,697,6,697,1,697,2,697,5,697,1,697,7,697,2,697,1,701,1,701,2,701,3,701,3,701,2,706,1,706,1,706,1,710,5,718,1,722,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,6,701,2,701,1,701,1,701,6,701,1,701,2,701,5,701,1,701,7,701,2,701,1,706,1,706,2,706,3,706,3,706,2,710,1,710,1,710,1,714,5,722,1,727,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,6,706,2,706,1,706,1,706,6,706,1,706,2,706,5,706,1,706,7,706,2,706,1,710,1,710,2,710,3,710,2,710,2,714,1,714,2,714,1,718,5,727,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,6,710,2,710,1,710,1,710,6,710,1,710,2,710,5,710,1,710,7,710,2,710,2,714,1,714,2,714,3,714,2,714,2,718,1,718,2,718,1,722,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,6,714,2,714,1,714,1,714,6,714,1,714,2,714,5,714,1,714,6,714,2,714,2,718,1,718,2,718,3,718,2,718,2,722,1,722,2,722,1,727,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,6,718,2,718,1,718,1,718,6,718,1,718,2,718,5,718,1,718,6,718,2,718,2,722,1,722,2,722,3,722,2,722,2,727,1,727,2,727,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,6,722,2,722,1,722,1,722,6,722,1,722,2,722,5,722,1,722,6,722,2,722,2,727,1,727,2,727,3,727,2,727,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,6,727,2,727,1,727,1,727,5,727,1,727,2,727,5,727,1,727,6,727,2,727,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
