Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,ASUSTek COMPUTER INC.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"Samsung Electronics Co.,Ltd",Time,Intel Corporate,Time,DrayTek Corp.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,"Apple, Inc",Time,"Murata Manufacturing Co., Ltd.",Time,Nokia Corporation,Time,Ubiquiti Networks,Time,ICP Electronics Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Routerboard.com,Time,SEIKO EPSON CORPORATION,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,Paragon Technologies Inc.,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Apple, Inc.",Time,"Murata Manufacturing Co.,Ltd.",Time,Apple Inc,Time,HTC Corporation,Time,"Huawei Technologies Co., Ltd",Time,"Samsung Electro Mechanics co., LTD.",Time,WISOL,Time,Sony Mobile Communications AB,Time,"Samsung Electro Mechanics co.,LTD.",Time,"Billion Electric Co., Ltd.",Time,Liteon Technology Corporation,Time,Pittasoft,Time,FUJI-XEROX CO. LTD.
319,6,319,1,319,1,319,4,319,1,319,2,319,4,319,5,319,1,319,2,319,1,324,3,324,3,324,1,324,0,324,1,337,1,337,1,337,1,341,1,341,2,350,1,362,1,367,1,379,1,383,0,387,2,404,0,417,0,442,0,451,0,468,0,554,0,727,0,740,0,841,0,850,0,854,0,904,1,1132,0,1140,0,1437,1,1567,0,1614,0,1772,0,,
324,6,324,1,324,1,324,5,324,1,324,2,324,4,324,7,324,1,324,2,324,1,329,3,329,3,329,1,329,0,329,1,341,1,341,1,341,2,345,1,345,2,354,1,367,1,370,1,383,1,387,0,392,2,409,0,421,0,446,0,455,0,472,0,558,0,732,0,744,0,845,0,854,0,858,0,909,1,1136,0,1144,0,1441,1,1571,0,1619,0,1776,0,,
329,6,329,1,329,1,329,5,329,1,329,2,329,4,329,7,329,1,329,2,329,2,332,3,332,3,332,1,332,0,332,1,345,1,345,1,345,2,350,1,350,2,358,1,370,1,375,1,387,1,392,0,396,2,412,0,425,1,451,0,460,0,476,0,562,0,736,0,749,0,850,0,858,0,862,0,912,1,1140,0,1149,0,1445,0,1575,0,1624,0,1780,0,,
332,6,332,1,332,1,332,5,332,1,332,2,332,4,332,7,332,1,332,2,332,2,337,3,337,3,337,1,337,0,337,1,350,1,350,1,350,2,354,1,354,2,362,1,375,1,379,1,392,1,396,0,400,1,417,0,429,1,455,0,464,0,481,0,566,0,740,0,753,0,854,0,862,0,867,0,917,1,1144,0,1153,0,1449,0,1579,0,1627,0,1784,0,,
337,6,337,1,337,1,337,5,337,1,337,2,337,4,337,7,337,1,337,2,337,2,341,2,341,3,341,1,341,0,341,1,354,1,354,1,354,2,358,1,358,2,367,1,379,1,383,1,396,1,400,0,404,1,421,0,434,1,460,0,468,0,485,0,570,0,744,0,756,0,858,0,867,0,871,0,921,1,1149,0,1157,0,1454,0,1584,0,1631,0,1789,0,,
341,6,341,1,341,1,341,5,341,1,341,2,341,4,341,8,341,1,341,2,341,2,345,2,345,3,345,1,345,0,345,1,358,1,358,1,358,2,362,1,362,2,370,1,383,1,387,1,400,1,404,0,409,1,425,0,438,1,464,0,472,0,489,0,575,0,749,0,760,0,862,0,871,0,875,0,925,1,1153,0,1162,0,1457,0,1588,0,1635,0,1793,0,,
345,6,345,1,345,1,345,5,345,1,345,2,345,4,345,8,345,1,345,2,345,2,350,2,350,3,350,1,350,0,350,1,362,1,362,1,362,2,367,1,367,2,375,1,387,1,392,1,404,1,409,0,412,1,429,0,442,1,468,0,476,0,493,0,579,0,753,0,765,0,867,0,875,0,879,0,930,1,1157,0,1165,0,1462,0,1593,0,1640,0,1797,0,,
350,6,350,1,350,1,350,4,350,1,350,2,350,4,350,8,350,1,350,2,350,2,354,2,354,3,354,1,354,0,354,1,367,1,367,1,367,2,370,1,370,1,379,1,392,1,396,1,409,1,412,0,417,1,434,0,446,1,472,0,481,0,498,0,584,0,756,0,769,0,871,0,879,0,883,0,934,1,1162,0,1170,0,1466,0,1597,0,1644,0,1801,0,,
354,6,354,1,354,1,354,4,354,1,354,2,354,4,354,8,354,1,354,2,354,2,358,2,358,3,358,1,358,0,358,1,370,1,370,1,370,1,375,1,375,1,383,1,396,1,400,1,412,1,417,0,421,1,438,0,451,1,476,0,485,0,503,0,587,0,760,0,773,0,875,0,883,0,888,0,938,1,1165,0,1174,0,1470,0,1601,0,1649,0,,,,
358,6,358,1,358,1,358,5,358,1,358,2,358,4,358,9,358,1,358,2,358,2,362,2,362,3,362,1,362,0,362,1,375,1,375,1,375,1,379,1,379,1,387,1,400,1,404,1,417,1,421,0,425,1,442,0,455,1,481,0,489,0,507,0,592,0,765,0,778,0,879,0,888,0,892,0,942,1,1170,0,1178,0,1475,0,1605,0,1653,0,,,,
362,6,362,1,362,1,362,5,362,1,362,2,362,3,362,10,362,1,362,2,362,2,367,2,367,3,367,1,367,0,367,1,379,1,379,1,379,1,383,1,383,2,392,1,404,1,409,1,421,1,425,0,429,1,446,0,460,1,485,0,493,0,511,0,596,0,769,0,782,0,883,0,892,0,896,0,947,1,1174,0,1183,0,1479,0,1609,0,1656,0,,,,
367,6,367,1,367,1,367,5,367,1,367,2,367,4,367,10,367,1,367,2,367,2,370,2,370,4,370,1,370,0,370,1,383,1,383,1,383,1,387,1,387,2,396,1,409,1,412,1,425,1,429,0,434,1,451,1,464,1,489,0,498,0,516,0,600,0,773,0,786,0,888,0,896,0,900,0,951,1,1178,0,1186,0,1483,0,1614,0,1660,0,,,,
370,6,370,1,370,1,370,5,370,1,370,2,370,4,370,10,370,1,370,2,370,2,375,2,375,4,375,1,375,0,375,1,387,1,387,1,387,1,392,1,392,3,400,1,412,1,417,1,429,1,434,0,438,1,455,1,468,1,493,0,503,0,520,0,604,0,778,0,790,0,892,0,900,0,904,0,955,1,1183,0,1191,0,1487,0,1619,0,1666,0,,,,
375,6,375,1,375,1,375,5,375,1,375,2,375,4,375,10,375,1,375,2,375,2,379,2,379,4,379,1,379,0,379,1,392,1,392,1,392,1,396,1,396,3,404,1,417,1,421,1,434,1,438,0,442,1,460,1,472,1,498,0,507,0,524,0,609,0,782,0,795,0,896,0,904,0,909,0,959,1,1186,0,1195,0,1491,0,1624,0,1669,0,,,,
379,6,379,1,379,1,379,5,379,1,379,2,379,4,379,10,379,1,379,2,379,2,383,2,383,4,383,0,383,0,383,1,396,1,396,2,396,1,400,1,400,3,409,1,421,1,425,1,438,1,442,0,446,1,464,1,476,1,503,0,511,0,528,0,613,0,786,0,799,0,900,0,909,0,912,0,963,2,1191,0,1199,0,1496,0,1627,0,1673,0,,,,
383,7,383,1,383,1,383,5,383,1,383,2,383,4,383,9,383,1,383,2,383,2,387,2,387,4,387,0,387,0,387,2,400,1,400,2,400,1,404,1,404,3,412,1,425,1,429,1,442,0,446,0,451,0,468,1,481,1,507,0,516,0,532,0,634,0,790,0,803,0,904,0,912,0,917,0,968,2,1195,0,1204,0,1500,0,1631,0,1677,0,,,,
387,7,387,1,387,1,387,5,387,1,387,2,387,4,387,9,387,1,387,2,387,2,392,2,392,4,392,0,392,0,392,2,404,1,404,2,404,1,409,1,409,2,417,1,429,1,434,1,446,0,451,0,455,0,472,1,485,1,511,0,520,0,537,0,639,0,795,0,807,0,909,0,917,0,921,0,972,2,1199,0,1208,0,1503,0,1635,0,1682,0,,,,
392,7,392,1,392,1,392,5,392,1,392,2,392,4,392,10,392,1,392,2,392,2,396,2,396,4,396,0,396,0,396,2,409,1,409,2,409,1,412,1,412,2,421,1,434,1,438,1,451,0,455,0,460,0,476,1,489,1,516,0,524,0,541,0,643,0,799,0,812,0,912,0,921,0,925,0,976,2,1204,0,1212,0,1508,0,1640,0,1686,0,,,,
396,7,396,1,396,1,396,5,396,1,396,2,396,4,396,10,396,1,396,3,396,2,400,2,400,4,400,1,400,0,400,2,412,1,412,2,412,1,417,1,417,2,425,1,438,1,442,1,455,0,460,0,464,0,481,1,493,1,520,0,528,0,545,0,647,0,803,0,816,0,917,0,925,0,930,0,980,2,1208,0,1216,0,1512,0,1644,0,1690,0,,,,
400,7,400,1,400,1,400,4,400,1,400,2,400,4,400,8,400,1,400,3,400,2,404,2,404,4,404,1,404,0,404,2,417,1,417,2,417,1,421,1,421,2,429,1,442,1,446,1,460,0,464,0,468,0,485,1,498,1,524,0,532,0,549,0,651,0,807,0,820,0,921,0,930,0,934,0,984,2,1212,0,1221,0,1516,1,1649,0,1694,0,,,,
404,7,404,1,404,1,404,4,404,1,404,2,404,4,404,8,404,1,404,3,404,1,409,1,409,5,409,1,409,0,409,2,421,1,421,2,421,1,425,1,425,2,434,1,446,1,451,1,464,0,468,0,472,0,489,1,503,1,528,0,537,0,554,0,655,0,812,0,824,0,925,0,934,0,938,0,989,2,1216,0,1225,0,1521,1,1653,0,1700,0,,,,
409,7,409,1,409,1,409,4,409,1,409,2,409,4,409,8,409,1,409,3,409,1,412,1,412,5,412,1,412,0,412,2,425,1,425,2,425,1,429,1,429,3,438,1,451,0,455,1,468,0,472,0,476,0,493,1,507,0,532,0,541,0,558,0,659,0,816,0,828,0,930,0,938,0,942,0,993,1,1221,0,1229,0,1525,1,1656,0,1704,0,,,,
412,7,412,1,412,1,412,4,412,1,412,2,412,4,412,8,412,1,412,3,412,1,417,1,417,5,417,1,417,0,417,2,429,1,429,2,429,1,434,1,434,3,442,1,455,1,460,1,472,0,476,0,481,0,498,1,511,0,537,0,545,0,562,0,664,0,820,0,833,0,934,0,942,0,947,0,998,1,1225,0,1233,0,1530,1,1660,0,1709,0,,,,
417,7,417,1,417,1,417,4,417,1,417,2,417,4,417,8,417,1,417,3,417,1,421,1,421,5,421,1,421,0,421,2,434,1,434,2,434,1,438,1,438,3,446,1,460,1,464,1,476,0,481,0,485,0,503,1,516,1,541,0,549,0,566,0,668,0,824,0,837,0,938,0,947,0,951,0,1001,1,1229,0,1238,0,1534,1,1666,0,1713,0,,,,
421,7,421,1,421,1,421,4,421,1,421,2,421,4,421,6,421,1,421,3,421,1,425,1,425,5,425,1,425,0,425,2,438,1,438,2,438,1,442,1,442,3,451,1,464,1,468,1,481,0,485,0,489,0,507,1,520,1,545,0,554,0,570,0,673,0,828,1,841,0,942,0,951,0,955,0,1006,1,1233,1,1241,0,1538,1,1669,0,1717,0,,,,
425,7,425,1,425,1,425,5,425,1,425,2,425,4,425,6,425,1,425,3,425,1,429,1,429,5,429,1,429,0,429,2,442,1,442,2,442,1,446,1,446,3,455,1,468,1,472,1,485,0,489,0,493,0,511,1,524,2,549,0,558,0,575,0,676,0,833,1,845,0,947,0,955,0,959,0,1010,1,1238,1,1246,0,1542,1,1673,0,1721,0,,,,
429,7,429,1,429,1,429,5,429,1,429,2,429,4,429,6,429,1,429,3,429,1,434,2,434,5,434,1,434,0,434,2,446,1,446,2,446,1,451,1,451,3,460,1,472,1,476,1,489,0,493,0,498,0,516,1,528,2,554,0,562,0,579,0,681,0,837,1,850,0,951,0,959,0,963,0,1014,1,1241,1,1251,0,1546,1,1677,0,1725,0,,,,
434,7,434,1,434,1,434,4,434,1,434,2,434,4,434,6,434,1,434,3,434,1,438,2,438,4,438,1,438,0,438,2,451,1,451,2,451,1,455,1,455,3,464,1,476,1,481,1,493,0,498,0,503,0,520,1,532,2,558,0,566,0,584,0,685,0,841,1,854,0,955,0,963,0,968,0,1018,1,1246,1,1254,0,1550,1,1682,0,1730,0,,,,
438,7,438,1,438,1,438,4,438,1,438,2,438,4,438,4,438,1,438,3,438,1,442,2,442,3,442,1,442,0,442,2,455,1,455,2,455,1,460,1,460,2,468,1,481,1,485,1,498,0,503,0,507,0,524,1,537,2,562,0,570,0,587,0,690,0,845,1,858,0,959,0,968,0,972,0,1022,1,1251,1,1259,0,1554,1,1686,0,1734,0,,,,
442,7,442,1,442,1,442,4,442,1,442,2,442,3,442,4,442,1,442,3,442,1,446,2,446,3,446,1,446,0,446,2,460,1,460,2,460,1,464,1,464,2,472,1,485,1,489,1,503,0,507,0,511,0,528,1,541,2,566,0,575,0,592,0,694,0,850,1,862,0,963,0,972,0,976,0,1027,1,1254,1,1262,0,1559,1,1690,1,1737,0,,,,
446,7,446,1,446,1,446,4,446,1,446,2,446,3,446,4,446,1,446,3,446,1,451,2,451,3,451,1,451,0,451,2,464,1,464,2,464,1,468,1,468,2,476,1,489,1,493,1,507,0,511,0,516,0,532,1,545,2,570,0,579,0,596,0,698,0,854,1,867,0,968,0,976,0,980,0,1031,1,1259,1,1267,0,1563,1,1694,1,1742,0,,,,
451,7,451,1,451,1,451,4,451,1,451,2,451,3,451,4,451,1,451,3,451,1,455,2,455,3,455,1,455,0,455,2,468,1,468,2,468,1,472,1,472,1,481,1,493,1,498,1,511,0,516,0,520,0,537,1,549,2,575,0,584,0,600,0,702,0,858,1,871,0,972,0,980,0,984,0,1035,1,1262,1,1271,0,1567,1,1700,1,1746,0,,,,
455,7,455,1,455,1,455,4,455,1,455,2,455,4,455,4,455,1,455,3,455,1,460,2,460,3,460,1,460,0,460,2,472,1,472,2,472,1,476,1,476,2,485,1,498,1,503,1,516,0,520,0,524,0,541,1,554,2,579,0,587,0,604,0,706,0,862,1,875,0,976,0,984,0,989,0,1040,0,1267,1,1275,0,1571,1,1704,1,1750,0,,,,
460,7,460,1,460,1,460,4,460,1,460,2,460,4,460,3,460,1,460,3,460,1,464,2,464,3,464,1,464,0,464,3,476,1,476,2,476,1,481,1,481,2,489,1,503,1,507,1,520,0,524,0,528,0,545,1,558,2,584,0,592,0,609,0,711,0,867,1,879,0,980,0,989,0,993,0,1043,0,1271,1,1280,0,1575,1,1709,1,1754,0,,,,
464,7,464,1,464,1,464,4,464,1,464,2,464,4,464,3,464,1,464,3,464,1,468,2,468,3,468,1,468,0,468,3,481,1,481,2,481,1,485,1,485,2,493,1,507,1,511,1,524,0,528,0,532,0,549,1,562,2,587,1,596,0,613,1,715,0,871,1,883,0,984,0,993,0,998,0,1048,0,1275,1,1284,0,1579,1,1713,1,1758,0,,,,
468,7,468,1,468,1,468,4,468,1,468,2,468,4,468,2,468,1,468,3,468,1,472,2,472,3,472,1,472,0,472,3,485,1,485,2,485,1,489,1,489,2,498,1,511,1,516,1,528,0,532,0,537,0,554,1,566,2,592,1,600,0,634,1,719,0,875,1,888,0,989,0,998,0,1001,0,1052,0,1280,1,1288,0,1584,1,1717,1,1763,0,,,,
472,7,472,1,472,1,472,4,472,1,472,2,472,4,472,2,472,1,472,2,472,1,476,2,476,3,476,1,476,0,476,3,489,1,489,2,489,1,493,1,493,2,503,1,516,1,520,1,532,0,537,0,541,0,558,1,570,2,596,1,604,0,639,1,722,0,879,1,892,0,993,0,1001,0,1006,0,1057,0,1284,1,1293,0,1588,1,1721,1,1767,0,,,,
476,7,476,1,476,1,476,4,476,1,476,2,476,4,476,2,476,1,476,2,476,1,481,2,481,3,481,1,481,0,481,3,493,1,493,2,493,1,498,1,498,2,507,1,520,1,524,1,537,0,541,0,545,0,562,1,575,2,600,1,609,0,643,1,727,0,883,1,896,0,998,1,1006,0,1010,0,1060,0,1288,1,1297,0,1593,1,1725,1,1772,0,,,,
481,7,481,1,481,1,481,4,481,1,481,2,481,4,481,2,481,1,481,2,481,1,485,2,485,2,485,1,485,0,485,3,498,1,498,2,498,1,503,1,503,2,511,1,524,1,528,1,541,0,545,0,549,0,566,1,579,2,604,1,613,0,647,1,732,0,888,1,900,0,1001,1,1010,0,1014,0,1065,0,1293,1,1301,0,1597,0,1730,1,1776,0,,,,
485,7,485,1,485,1,485,3,485,1,485,2,485,4,485,2,485,1,485,2,485,1,489,2,489,2,489,1,489,0,489,3,503,1,503,2,503,1,507,1,507,1,516,1,528,1,532,1,545,0,549,0,554,0,570,1,584,2,609,1,634,0,651,1,736,0,892,1,904,0,1006,1,1014,0,1018,0,1069,0,1297,1,1305,0,1601,0,1734,1,1780,0,,,,
489,7,489,1,489,1,489,4,489,1,489,2,489,4,489,3,489,1,489,2,489,1,493,2,493,2,493,1,493,0,493,3,507,1,507,2,507,1,511,1,511,2,520,1,532,1,537,1,549,0,554,0,558,0,575,1,587,2,613,1,639,0,655,1,740,0,896,1,909,1,1010,1,1018,0,1022,0,1073,0,1301,1,1309,0,1605,0,1737,1,1784,0,,,,
493,7,493,1,493,1,493,4,493,1,493,2,493,4,493,3,493,1,493,2,493,1,498,2,498,2,498,1,498,0,498,3,511,1,511,2,511,2,516,1,516,2,524,1,537,1,541,1,554,0,558,0,562,0,579,1,592,2,634,1,643,0,659,1,744,0,900,1,912,1,1014,1,1022,0,1027,0,1077,0,1305,1,1314,0,1609,0,1742,1,1789,0,,,,
498,7,498,1,498,1,498,4,498,1,498,2,498,4,498,3,498,1,498,2,498,1,503,2,503,2,503,1,503,0,503,3,516,1,516,2,516,2,520,1,520,2,528,1,541,1,545,1,558,0,562,0,566,0,584,1,596,2,639,1,647,0,664,1,749,0,904,1,917,1,1018,1,1027,0,1031,0,1082,0,1309,0,1318,0,1614,0,1746,1,1793,0,,,,
503,7,503,1,503,1,503,4,503,1,503,2,503,4,503,3,503,1,503,2,503,1,507,2,507,2,507,1,507,0,507,2,520,1,520,1,520,2,524,1,524,2,532,1,545,1,549,1,562,0,566,0,570,0,587,0,600,2,643,1,651,0,668,1,753,0,909,1,921,1,1022,1,1031,0,1035,0,1086,0,1314,0,1322,0,1619,0,1750,1,1797,0,,,,
507,7,507,1,507,1,507,3,507,1,507,2,507,3,507,3,507,1,507,2,507,1,511,2,511,2,511,1,511,0,511,2,524,1,524,1,524,2,528,1,528,2,537,1,549,1,554,1,566,0,570,0,575,0,592,0,604,2,647,1,655,0,673,1,756,0,912,1,925,1,1027,1,1035,0,1040,0,1090,0,1318,0,1327,0,1624,0,1754,1,1801,0,,,,
511,8,511,1,511,1,511,4,511,1,511,2,511,3,511,3,511,1,511,2,511,1,516,2,516,2,516,1,516,0,516,2,528,1,528,1,528,2,532,1,532,2,541,1,554,1,558,1,570,0,575,0,579,0,596,0,609,2,651,1,659,0,676,1,760,0,917,1,930,1,1031,1,1040,0,1043,0,1094,0,1322,0,1331,0,1627,0,1758,1,,,,,,
516,8,516,1,516,1,516,4,516,1,516,2,516,3,516,3,516,1,516,2,516,1,520,2,520,2,520,1,520,0,520,2,532,1,532,1,532,1,537,1,537,2,545,1,558,1,562,1,575,0,579,0,584,0,600,0,613,2,655,1,664,0,681,1,765,0,921,1,934,1,1035,1,1043,0,1048,0,1098,0,1327,0,1334,0,1631,0,1763,1,,,,,,
520,8,520,1,520,1,520,4,520,1,520,2,520,3,520,4,520,1,520,2,520,1,524,2,524,2,524,1,524,0,524,2,537,1,537,1,537,1,541,1,541,2,549,1,562,0,566,1,579,0,584,0,587,0,604,0,634,1,659,1,668,0,685,1,769,0,925,1,938,1,1040,1,1048,0,1052,0,1102,0,1331,0,1339,0,1635,0,1767,0,,,,,,
524,8,524,1,524,1,524,3,524,1,524,2,524,3,524,4,524,1,524,2,524,1,528,2,528,2,528,1,528,0,528,2,541,1,541,1,541,1,545,1,545,2,554,1,566,0,570,1,584,0,587,0,592,0,609,0,639,1,664,0,673,0,690,0,773,0,930,1,942,1,1043,1,1052,0,1057,0,1106,0,1334,0,1343,0,1640,0,1772,0,,,,,,
528,8,528,1,528,1,528,3,528,1,528,2,528,3,528,5,528,1,528,2,528,1,532,2,532,2,532,1,532,0,532,2,545,1,545,1,545,1,549,1,549,2,558,1,570,0,575,1,587,0,592,0,596,0,613,0,643,1,668,0,676,0,694,0,778,0,934,1,947,1,1048,1,1057,0,1060,0,1111,0,1339,0,1347,0,1644,1,1776,0,,,,,,
532,8,532,1,532,1,532,3,532,1,532,2,532,2,532,6,532,1,532,2,532,1,537,2,537,2,537,1,537,0,537,2,549,1,549,2,549,1,554,1,554,1,562,1,575,1,579,1,592,0,596,0,600,0,634,1,647,1,673,0,681,0,698,0,782,0,938,0,951,1,1052,1,1060,0,1065,0,1115,0,1343,0,1352,0,1649,1,1780,0,,,,,,
537,8,537,1,537,1,537,3,537,1,537,2,537,2,537,6,537,1,537,2,537,1,541,2,541,1,541,1,541,0,541,1,554,1,554,2,554,1,558,1,558,1,566,1,579,1,584,1,596,0,600,0,604,0,639,1,651,1,676,0,685,0,702,0,786,0,942,0,955,1,1057,1,1065,0,1069,0,1119,0,1347,0,1356,0,1653,1,1784,0,,,,,,
541,8,541,1,541,1,541,3,541,1,541,2,541,2,541,6,541,1,541,2,541,1,545,2,545,1,545,1,545,0,545,1,558,1,558,2,558,2,562,1,562,1,570,1,584,1,587,1,600,0,604,0,609,0,643,1,655,1,681,0,690,0,706,0,790,0,947,0,959,1,1060,1,1069,0,1073,0,1124,0,1352,0,1360,0,1656,1,1789,0,,,,,,
545,8,545,1,545,1,545,3,545,1,545,2,545,2,545,6,545,1,545,2,545,1,549,2,549,1,549,1,549,0,549,1,562,1,562,2,562,2,566,1,566,1,575,1,587,1,592,1,604,0,609,0,613,0,647,1,659,1,685,0,694,0,711,0,795,0,951,0,963,1,1065,1,1073,0,1077,0,1127,0,1356,0,1365,0,1660,1,1793,0,,,,,,
549,8,549,1,549,1,549,3,549,1,549,2,549,2,549,7,549,1,549,2,549,1,554,2,554,1,554,1,554,0,554,1,566,1,566,2,566,2,570,1,570,2,579,1,592,1,596,1,609,0,613,0,634,0,651,1,664,1,690,0,698,0,715,0,799,0,955,0,968,1,1069,1,1077,0,1082,0,1132,0,1360,0,1369,0,1666,1,1797,0,,,,,,
554,8,554,1,554,1,554,4,554,1,554,2,554,2,554,7,554,1,554,2,554,1,558,2,558,1,558,1,558,0,558,1,570,1,570,2,570,2,575,1,575,2,584,1,596,1,600,1,613,0,634,0,639,0,655,1,668,1,694,0,702,0,719,0,803,0,959,0,972,1,1073,1,1082,0,1086,0,1136,0,1365,0,1373,0,1669,1,1801,0,,,,,,
558,8,558,1,558,1,558,4,558,1,558,2,558,2,558,7,558,1,558,2,558,1,562,2,562,1,562,1,562,0,562,1,575,1,575,2,575,2,579,1,579,2,587,1,600,1,604,1,634,0,639,0,643,0,659,1,673,1,698,0,706,0,722,0,807,0,963,0,976,1,1077,1,1086,0,1090,0,1140,0,1369,0,1377,0,1673,1,,,,,,,,
562,8,562,1,562,1,562,5,562,1,562,2,562,2,562,7,562,1,562,2,562,1,566,2,566,1,566,1,566,0,566,1,579,1,579,2,579,2,584,1,584,2,592,1,604,1,609,1,639,0,643,0,647,0,664,1,676,0,702,0,711,0,727,0,812,0,968,0,980,1,1082,1,1090,0,1094,0,1144,0,1373,0,1381,0,1677,1,,,,,,,,
566,8,566,1,566,1,566,5,566,1,566,2,566,2,566,7,566,1,566,2,566,1,570,2,570,1,570,1,570,0,570,1,584,1,584,2,584,2,587,1,587,1,596,1,609,1,613,1,643,0,647,0,651,0,668,1,681,0,706,0,715,0,732,0,816,0,972,0,984,0,1086,1,1094,0,1098,0,1149,0,1377,0,1385,0,1682,1,,,,,,,,
570,8,570,1,570,1,570,5,570,1,570,2,570,2,570,7,570,1,570,2,570,1,575,2,575,1,575,1,575,0,575,1,587,1,587,2,587,2,592,1,592,1,600,1,613,1,634,1,647,0,651,0,655,0,673,1,685,0,711,1,719,0,736,0,820,0,976,0,989,0,1090,1,1098,0,1102,0,1153,0,1381,0,1390,0,1686,1,,,,,,,,
575,8,575,1,575,1,575,5,575,1,575,2,575,2,575,8,575,1,575,2,575,1,579,2,579,1,579,1,579,0,579,1,592,1,592,2,592,3,596,1,596,1,604,1,634,1,639,1,651,0,655,0,659,0,676,1,690,0,715,1,722,0,740,0,824,0,980,0,993,0,1094,1,1102,0,1106,0,1157,0,1385,0,1394,0,1690,1,,,,,,,,
579,8,579,1,579,1,579,6,579,1,579,2,579,2,579,8,579,1,579,2,579,1,584,1,584,2,584,1,584,0,584,1,596,1,596,2,596,3,600,1,600,1,609,1,639,1,643,1,655,0,659,0,664,0,681,1,694,0,719,1,727,0,744,0,828,0,984,0,998,0,1098,1,1106,0,1111,0,1162,0,1390,0,1399,0,1694,1,,,,,,,,
584,8,584,1,584,1,584,7,584,1,584,2,584,3,584,8,584,1,584,2,584,1,587,1,587,2,587,1,587,0,587,1,600,1,600,2,600,3,604,1,604,1,613,1,643,1,647,1,659,0,664,1,668,0,685,1,698,0,722,1,732,0,749,0,833,0,989,0,1001,0,1102,1,1111,0,1115,0,1165,0,1394,0,1403,0,1700,1,,,,,,,,
587,8,587,1,587,1,587,6,587,1,587,2,587,3,587,8,587,1,587,2,587,1,592,1,592,2,592,1,592,0,592,1,604,1,604,2,604,3,609,1,609,1,634,1,647,1,651,1,664,0,668,1,673,0,690,1,702,0,727,1,736,0,753,0,837,0,993,0,1006,0,1106,1,1115,0,1119,0,1170,0,1399,0,1406,0,1704,1,,,,,,,,
592,8,592,1,592,1,592,6,592,1,592,2,592,3,592,8,592,1,592,2,592,1,596,1,596,2,596,1,596,0,596,1,609,1,609,2,609,3,613,1,613,1,639,1,651,1,655,1,668,0,673,1,676,0,694,1,706,0,732,1,740,0,756,0,841,0,998,0,1010,0,1111,1,1119,0,1124,0,1174,0,1403,0,1411,0,1709,1,,,,,,,,
596,8,596,1,596,1,596,6,596,1,596,2,596,3,596,7,596,1,596,2,596,1,600,1,600,2,600,1,600,0,600,1,613,1,613,2,613,3,634,1,634,1,643,1,655,1,659,1,673,1,676,1,681,0,698,1,711,0,736,1,744,0,760,0,845,0,1001,0,1014,0,1115,1,1124,0,1127,0,1178,0,1406,0,1416,0,1713,1,,,,,,,,
600,8,600,1,600,1,600,6,600,1,600,2,600,3,600,7,600,1,600,2,600,1,604,1,604,2,604,1,604,0,604,1,634,1,634,2,634,3,639,1,639,1,647,1,659,1,664,1,676,1,681,1,685,1,702,1,715,0,740,1,749,0,765,0,850,0,1006,0,1018,0,1119,1,1127,0,1132,0,1183,0,1411,0,1420,0,1717,2,,,,,,,,
604,8,604,1,604,1,604,6,604,1,604,2,604,3,604,8,604,1,604,2,604,1,609,1,609,3,609,1,609,0,609,1,639,1,639,2,639,2,643,1,643,1,651,1,664,1,668,1,681,1,685,1,690,1,706,1,719,0,744,1,753,0,769,0,854,0,1010,0,1022,0,1124,1,1132,0,1136,0,1186,0,1416,0,1423,0,1721,1,,,,,,,,
609,8,609,1,609,1,609,6,609,1,609,2,609,3,609,7,609,1,609,2,609,1,613,1,613,3,613,1,613,0,613,1,643,1,643,2,643,2,647,1,647,0,655,1,668,1,673,1,685,1,690,1,694,1,711,1,722,0,749,1,756,0,773,0,858,0,1014,0,1027,0,1127,1,1136,0,1140,0,1191,0,1420,0,1428,0,1725,1,,,,,,,,
613,8,613,1,613,1,613,6,613,1,613,2,613,3,613,7,613,1,613,2,613,1,634,1,634,3,634,1,634,0,634,1,647,1,647,2,647,1,651,1,651,0,659,1,673,1,676,1,690,1,694,1,698,1,715,1,727,0,753,1,760,0,778,0,862,0,1018,0,1031,0,1132,0,1140,0,1144,0,1195,0,1423,0,1433,0,1730,1,,,,,,,,
634,9,634,1,634,1,634,6,634,1,634,2,634,3,634,6,634,1,634,2,634,1,639,1,639,3,639,1,639,0,639,1,651,1,651,2,651,1,655,1,655,0,664,1,676,1,681,1,694,1,698,1,702,1,719,1,732,0,756,1,765,0,782,0,867,0,1022,0,1035,0,1136,0,1144,0,1149,0,1199,0,1428,0,1437,0,1734,1,,,,,,,,
