Time,Manual_Count,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,Routerboard.com,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"NETGEAR INC.,",Time,"CISCO SYSTEMS, INC.",Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,Intel Corporate,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Ubiquiti Networks,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Enerpoint Ltd.,Time,Hewlett-Packard Company,Time,Hewlett Packard,Time,Lexmark International Inc.,Time,DrayTek Corp.,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Nokia Corporation,Time,SEIKO EPSON CORPORATION,Time,"Samsung Electro Mechanics co.,LTD.",Time,"CABLE TELEVISION LABORATORIES, INC.",Time,"Apple, Inc",Time,ICP Electronics Inc.,Time,Apple Inc,Time,Liteon Tech Corp.,Time,HTC Corporation
403,5,403,1,403,3,403,1,403,1,403,2,403,5,403,9,403,1,403,1,403,2,408,1,408,1,408,2,412,1,412,1,412,2,416,1,416,2,420,0,420,2,433,2,433,0,437,1,437,0,441,0,446,1,458,0,471,0,479,2,,,,,,,,
408,5,408,1,408,3,408,1,408,1,408,2,408,5,408,9,408,1,408,1,408,2,412,1,412,1,412,2,416,1,416,1,416,2,420,1,420,2,424,0,424,2,437,2,437,0,441,1,441,0,446,0,450,1,462,0,475,0,483,2,,,,,,,,
412,5,412,1,412,3,412,1,412,1,412,2,412,5,412,8,412,1,412,1,412,2,416,1,416,2,416,2,420,1,420,1,420,2,424,1,424,2,429,0,429,2,441,2,441,0,446,1,446,0,450,0,454,1,467,0,479,0,488,2,,,,,,,,
416,5,416,1,416,3,416,1,416,1,416,2,416,5,416,8,416,1,416,1,416,2,420,1,420,2,420,2,424,1,424,1,424,2,429,1,429,2,433,0,433,2,446,2,446,0,450,1,450,0,454,0,458,1,471,0,483,0,492,2,,,,,,,,
420,5,420,1,420,3,420,1,420,1,420,2,420,5,420,8,420,1,420,1,420,2,424,1,424,2,424,2,429,1,429,1,429,2,433,1,433,1,437,0,437,2,450,2,450,0,454,1,454,0,458,0,462,1,475,0,488,0,496,2,,,,,,,,
424,5,424,1,424,4,424,1,424,1,424,2,424,5,424,9,424,1,424,1,424,2,429,1,429,2,429,2,433,1,433,1,433,2,437,1,437,1,441,0,441,2,454,2,454,0,458,1,458,0,462,0,467,1,479,0,492,0,501,2,,,,,,,,
429,5,429,1,429,5,429,1,429,1,429,2,429,5,429,10,429,1,429,1,429,2,433,1,433,2,433,2,437,2,437,1,437,2,441,1,441,1,446,0,446,2,458,2,458,0,462,1,462,0,467,0,471,1,483,0,496,0,506,2,,,,,,,,
433,5,433,1,433,5,433,1,433,1,433,2,433,5,433,9,433,1,433,1,433,2,437,1,437,2,437,2,441,2,441,1,441,2,446,1,446,1,450,0,450,2,462,2,462,0,467,1,467,0,471,0,475,1,488,0,501,0,509,2,,,,,,,,
437,5,437,1,437,6,437,1,437,1,437,2,437,5,437,9,437,1,437,1,437,2,441,1,441,2,441,2,446,2,446,1,446,2,450,1,450,1,454,0,454,2,467,2,467,0,471,1,471,0,475,0,479,1,492,0,506,0,513,2,,,,,,,,
441,5,441,1,441,6,441,1,441,1,441,2,441,5,441,9,441,1,441,1,441,2,446,1,446,2,446,2,450,2,450,1,450,2,454,1,454,1,458,0,458,2,471,2,471,0,475,1,475,0,479,0,483,1,496,0,509,0,518,1,,,,,,,,
446,5,446,1,446,6,446,1,446,1,446,2,446,5,446,10,446,1,446,1,446,2,450,1,450,2,450,2,454,2,454,1,454,2,458,1,458,2,462,0,462,2,475,2,475,0,479,1,479,0,483,0,488,0,501,0,513,0,522,1,,,,,,,,
450,5,450,1,450,6,450,1,450,1,450,2,450,5,450,10,450,1,450,1,450,2,454,1,454,2,454,2,458,2,458,1,458,2,462,1,462,2,467,0,467,1,479,2,479,0,483,1,483,0,488,0,492,0,506,0,518,0,,,,,,,,,,
454,5,454,1,454,6,454,1,454,1,454,2,454,4,454,10,454,1,454,1,454,2,458,1,458,2,458,2,462,2,462,1,462,2,467,1,467,2,471,0,471,1,483,2,483,0,488,1,488,0,492,0,496,0,509,0,522,0,,,,,,,,,,
458,5,458,1,458,6,458,1,458,1,458,2,458,4,458,10,458,1,458,1,458,2,462,1,462,2,462,2,467,2,467,1,467,2,471,1,471,2,475,0,475,0,488,2,488,0,492,1,492,0,496,0,501,0,513,0,,,,,,,,,,,,
462,5,462,1,462,5,462,1,462,1,462,2,462,4,462,11,462,1,462,1,462,2,467,1,467,2,467,2,471,2,471,1,471,2,475,1,475,2,479,0,479,0,492,3,492,0,496,1,496,0,501,0,506,0,518,0,,,,,,,,,,,,
467,5,467,1,467,5,467,0,467,1,467,2,467,4,467,12,467,1,467,1,467,2,471,1,471,2,471,2,475,1,475,1,475,1,479,1,479,2,483,0,483,0,496,4,496,0,501,1,501,0,506,0,509,0,522,0,,,,,,,,,,,,
471,5,471,1,471,5,471,0,471,1,471,2,471,4,471,12,471,1,471,1,471,2,475,1,475,2,475,2,479,1,479,1,479,1,483,1,483,2,488,0,488,0,501,4,501,0,506,1,506,0,509,0,513,0,,,,,,,,,,,,,,
475,5,475,1,475,5,475,1,475,1,475,2,475,2,475,13,475,1,475,1,475,2,479,1,479,2,479,2,483,1,483,1,483,1,488,1,488,2,492,0,492,0,506,4,506,0,509,1,509,0,513,0,518,0,,,,,,,,,,,,,,
479,5,479,1,479,5,479,1,479,1,479,2,479,2,479,11,479,1,479,1,479,2,483,1,483,2,483,2,488,1,488,1,488,1,492,1,492,2,496,0,496,0,509,4,509,0,513,1,513,0,518,0,522,0,,,,,,,,,,,,,,
483,5,483,1,483,5,483,1,483,1,483,2,483,2,483,11,483,1,483,1,483,2,488,1,488,2,488,2,492,1,492,1,492,1,496,1,496,2,501,0,501,0,513,4,513,0,518,1,518,1,522,0,,,,,,,,,,,,,,,,
488,5,488,1,488,5,488,1,488,1,488,2,488,2,488,11,488,1,488,1,488,2,492,1,492,2,492,2,496,1,496,1,496,1,501,1,501,2,506,0,506,0,518,3,518,0,522,1,522,1,,,,,,,,,,,,,,,,,,
492,5,492,1,492,5,492,1,492,1,492,2,492,2,492,10,492,1,492,1,492,2,496,1,496,2,496,2,501,1,501,1,501,1,506,1,506,2,509,0,509,0,522,3,522,0,,,,,,,,,,,,,,,,,,,,,,
496,5,496,1,496,5,496,1,496,1,496,2,496,2,496,10,496,1,496,1,496,2,501,1,501,2,501,2,506,1,506,1,506,1,509,1,509,2,513,0,513,0,,,,,,,,,,,,,,,,,,,,,,,,,,
501,5,501,1,501,4,501,1,501,1,501,2,501,2,501,8,501,1,501,1,501,2,506,1,506,2,506,2,509,1,509,1,509,1,513,1,513,2,518,0,518,0,,,,,,,,,,,,,,,,,,,,,,,,,,
506,5,506,1,506,3,506,1,506,1,506,2,506,2,506,8,506,1,506,1,506,2,509,1,509,3,509,1,513,2,513,1,513,1,518,1,518,2,522,0,522,0,,,,,,,,,,,,,,,,,,,,,,,,,,
509,5,509,1,509,3,509,1,509,1,509,2,509,2,509,8,509,1,509,1,509,2,513,1,513,3,513,1,518,2,518,1,518,1,522,1,522,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,5,513,1,513,2,513,1,513,1,513,2,513,2,513,8,513,1,513,1,513,2,518,1,518,3,518,1,522,1,522,1,522,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,5,518,1,518,3,518,1,518,1,518,2,518,2,518,9,518,1,518,1,518,2,522,1,522,3,522,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,5,522,1,522,3,522,1,522,1,522,2,522,2,522,9,522,1,522,1,522,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
