Time,Manual_Count,Time,Netgear Inc.,Time,ASUSTek COMPUTER INC.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,IBM Corp,Time,"SAMSUNG ELECTRO-MECHANICS CO., LTD.",Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Apple,Time,Belkin International Inc.,Time,"CISCO SYSTEMS, INC.",Time,DrayTek Corp.,Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"Apple, Inc",Time,Hewlett Packard,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Liteon Tech Corp.,Time,Routerboard.com,Time,"Samsung Electro Mechanics co.,LTD.",Time,Hewlett-Packard Company,Time,HTC Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Enerpoint Ltd.,Time,"Verifone, INC.",Time,"Apple, Inc.",Time,ICP Electronics Inc.,Time,Lexmark International Inc.,Time,LG Electronics,Time,"Murata Manufactuaring Co.,Ltd.",Time,WISOL,Time,"Murata Manufacturing Co.,Ltd.",Time,Motorola Mobility LLC,Time,Apple Inc,Time,"Samsung Elec Co.,Ltd",Time,FUJI-XEROX CO. LTD.
338,15,338,1,338,1,338,1,338,1,338,1,338,2,338,1,338,1,338,2,338,1,338,4,338,3,338,1,338,1,343,1,343,1,343,2,346,0,346,1,351,1,351,1,355,0,355,0,363,0,385,0,401,0,419,0,432,0,439,0,528,0,696,0,713,0,747,1,764,0,841,1,,,,,,,,
343,15,343,1,343,1,343,1,343,1,343,2,343,2,343,1,343,1,343,2,343,1,343,3,343,5,343,1,343,1,346,1,346,1,346,2,351,0,351,1,355,1,355,1,359,0,359,0,367,0,389,0,405,0,423,0,435,0,443,0,532,0,700,0,717,0,751,1,768,0,845,1,,,,,,,,
346,15,346,1,346,1,346,1,346,1,346,2,346,2,346,1,346,1,346,3,346,1,346,3,346,5,346,1,346,1,351,1,351,1,351,2,355,0,355,1,359,1,359,1,363,0,363,0,372,0,393,0,410,1,426,0,439,0,448,0,537,0,705,0,722,0,755,1,773,0,849,1,,,,,,,,
351,15,351,1,351,1,351,1,351,1,351,3,351,2,351,1,351,1,351,3,351,1,351,3,351,5,351,1,351,2,355,1,355,1,355,2,359,1,359,1,363,1,363,0,367,0,367,0,376,0,397,0,414,1,432,0,443,0,452,0,541,0,709,0,726,0,760,1,776,0,854,1,,,,,,,,
355,15,355,1,355,1,355,1,355,1,355,3,355,2,355,1,355,0,355,3,355,1,355,3,355,5,355,1,355,2,359,1,359,1,359,2,363,1,363,1,367,1,367,0,372,0,372,0,380,0,401,0,419,1,435,0,448,0,456,0,545,0,713,0,730,0,764,0,781,0,857,1,,,,,,,,
359,15,359,1,359,1,359,1,359,1,359,3,359,1,359,1,359,0,359,3,359,1,359,3,359,6,359,1,359,2,363,1,363,1,363,2,367,1,367,1,372,1,372,0,376,0,376,0,385,0,405,0,423,1,439,0,452,0,461,0,549,0,717,0,734,0,768,0,785,0,861,1,,,,,,,,
363,15,363,1,363,1,363,1,363,1,363,3,363,1,363,1,363,0,363,3,363,1,363,3,363,6,363,1,363,2,367,1,367,1,367,1,372,1,372,1,376,1,376,1,380,0,380,0,389,0,410,0,426,1,443,0,456,0,464,0,553,0,722,0,739,0,773,0,789,0,865,1,,,,,,,,
367,15,367,1,367,1,367,1,367,1,367,3,367,2,367,1,367,0,367,3,367,1,367,3,367,6,367,1,367,2,372,1,372,1,372,1,376,1,376,1,380,1,380,1,385,0,385,0,393,0,414,0,432,1,448,0,461,0,469,0,557,0,726,0,743,0,776,0,794,0,870,1,,,,,,,,
372,15,372,1,372,1,372,1,372,1,372,3,372,2,372,1,372,0,372,3,372,1,372,3,372,6,372,1,372,2,376,1,376,1,376,2,380,1,380,1,385,1,385,1,389,1,389,0,397,0,419,0,435,1,452,0,464,0,473,0,562,0,730,0,747,0,781,0,798,0,874,1,,,,,,,,
376,15,376,1,376,1,376,1,376,1,376,3,376,2,376,1,376,0,376,3,376,2,376,3,376,5,376,1,376,2,380,1,380,1,380,2,385,2,385,1,389,0,389,1,393,1,393,0,401,0,423,0,439,1,456,0,469,0,478,0,566,0,734,0,751,0,785,0,802,0,879,1,,,,,,,,
380,15,380,1,380,1,380,1,380,1,380,3,380,2,380,1,380,0,380,2,380,2,380,4,380,5,380,1,380,2,385,1,385,1,385,3,389,2,389,1,393,0,393,1,397,1,397,0,405,0,426,0,443,1,461,0,473,0,481,0,570,0,739,0,755,0,789,0,806,0,882,1,,,,,,,,
385,15,385,1,385,1,385,1,385,1,385,3,385,2,385,0,385,0,385,2,385,2,385,4,385,5,385,1,385,2,389,1,389,1,389,3,393,2,393,1,397,0,397,1,401,1,401,0,410,0,432,0,448,1,464,0,478,0,486,0,574,0,743,0,760,0,794,0,810,0,887,0,,,,,,,,
389,15,389,1,389,1,389,1,389,1,389,3,389,2,389,0,389,0,389,2,389,2,389,4,389,5,389,1,389,2,393,1,393,1,393,3,397,2,397,1,401,1,401,1,405,1,405,0,414,0,435,0,452,1,469,0,481,0,490,0,578,0,747,0,764,0,798,0,815,0,891,0,,,,,,,,
393,15,393,1,393,1,393,1,393,1,393,3,393,2,393,1,393,0,393,1,393,2,393,4,393,4,393,1,393,2,397,1,397,1,397,3,401,2,401,1,405,1,405,1,410,1,410,0,419,0,439,0,456,1,473,0,486,0,494,0,583,0,751,0,768,0,802,0,819,0,895,0,,,,,,,,
397,15,397,1,397,1,397,1,397,1,397,2,397,2,397,1,397,0,397,2,397,2,397,4,397,5,397,1,397,2,401,1,401,1,401,3,405,2,405,1,410,1,410,1,414,1,414,0,423,0,443,0,461,1,478,0,490,0,498,0,587,0,755,0,773,0,806,0,824,0,899,0,,,,,,,,
401,15,401,1,401,1,401,1,401,1,401,2,401,2,401,1,401,0,401,2,401,2,401,4,401,5,401,1,401,2,405,1,405,1,405,3,410,2,410,1,414,1,414,1,419,1,419,0,426,0,448,0,464,1,481,0,494,0,503,0,591,0,760,0,776,0,810,0,827,0,904,0,,,,,,,,
405,15,405,1,405,1,405,1,405,1,405,2,405,2,405,1,405,0,405,2,405,2,405,4,405,4,405,1,405,2,410,1,410,1,410,3,414,2,414,1,419,1,419,1,423,1,423,0,432,0,452,0,469,1,486,0,498,0,507,0,595,0,764,0,781,0,815,0,832,0,908,0,,,,,,,,
410,15,410,1,410,1,410,1,410,1,410,2,410,2,410,1,410,0,410,2,410,2,410,5,410,4,410,1,410,2,414,1,414,1,414,3,419,2,419,1,423,1,423,1,426,1,426,0,435,0,456,0,473,1,490,0,503,0,511,0,599,0,768,0,785,0,819,0,836,0,,,,,,,,,,
414,13,414,1,414,1,414,1,414,1,414,3,414,1,414,1,414,0,414,2,414,2,414,5,414,4,414,1,414,2,419,1,419,1,419,3,423,2,423,1,426,1,426,0,432,1,432,0,439,0,461,0,478,0,494,0,507,0,515,0,603,0,773,0,789,0,824,0,841,0,,,,,,,,,,
419,13,419,1,419,1,419,1,419,1,419,3,419,1,419,1,419,0,419,2,419,2,419,4,419,4,419,1,419,2,423,1,423,1,423,3,426,2,426,1,432,1,432,0,435,0,435,0,443,0,464,0,481,0,498,0,511,0,519,0,609,0,776,0,794,0,827,0,845,0,,,,,,,,,,
423,13,423,1,423,1,423,1,423,1,423,3,423,1,423,1,423,0,423,2,423,2,423,4,423,4,423,1,423,2,426,1,426,1,426,2,432,1,432,1,435,1,435,0,439,0,439,0,448,0,469,0,486,0,503,1,515,0,524,0,614,0,781,0,798,0,832,0,849,0,,,,,,,,,,
426,13,426,1,426,1,426,1,426,1,426,4,426,1,426,1,426,0,426,2,426,2,426,5,426,3,426,1,426,2,432,1,432,1,432,1,435,1,435,1,439,1,439,0,443,0,443,0,452,0,473,0,490,0,507,1,519,0,528,0,618,0,785,0,802,0,836,0,854,0,,,,,,,,,,
432,13,432,1,432,1,432,1,432,1,432,4,432,2,432,1,432,0,432,2,432,2,432,5,432,4,432,1,432,2,435,1,435,1,435,1,439,1,439,1,443,1,443,0,448,0,448,0,456,1,478,0,494,0,511,1,524,0,532,0,622,0,789,0,806,0,841,0,857,0,,,,,,,,,,
435,13,435,1,435,1,435,1,435,1,435,4,435,2,435,1,435,0,435,2,435,1,435,5,435,6,435,1,435,2,439,1,439,1,439,1,443,1,443,1,448,0,448,0,452,0,452,0,461,1,481,0,498,0,515,1,528,0,537,0,626,0,794,0,810,0,845,0,861,0,,,,,,,,,,
439,14,439,1,439,1,439,1,439,1,439,4,439,2,439,0,439,0,439,2,439,1,439,5,439,6,439,1,439,2,443,1,443,1,443,1,448,1,448,1,452,0,452,0,456,0,456,0,464,1,486,0,503,0,519,1,532,0,541,0,631,0,798,0,815,0,849,0,865,0,,,,,,,,,,
443,14,443,1,443,1,443,1,443,1,443,4,443,3,443,0,443,0,443,1,443,1,443,5,443,5,443,1,443,2,448,1,448,1,448,1,452,0,452,1,456,0,456,0,461,1,461,0,469,1,490,0,507,0,524,1,537,0,545,0,635,0,802,0,819,0,854,0,870,0,,,,,,,,,,
448,14,448,1,448,1,448,1,448,1,448,4,448,3,448,0,448,0,448,1,448,1,448,5,448,5,448,1,448,2,452,1,452,1,452,1,456,0,456,1,461,0,461,0,464,1,464,0,473,1,494,0,511,0,528,1,541,0,549,0,639,0,806,0,824,0,857,0,874,0,,,,,,,,,,
452,14,452,1,452,1,452,1,452,1,452,4,452,3,452,0,452,0,452,1,452,1,452,5,452,6,452,1,452,2,456,1,456,1,456,1,461,0,461,1,464,1,464,0,469,1,469,0,478,1,498,0,515,0,532,1,545,0,553,0,644,0,810,0,827,0,861,0,879,0,,,,,,,,,,
456,14,456,1,456,1,456,1,456,1,456,4,456,3,456,0,456,0,456,1,456,1,456,4,456,6,456,1,456,2,461,1,461,1,461,1,464,0,464,1,469,1,469,0,473,1,473,0,481,1,503,0,519,0,537,1,549,0,557,0,648,0,815,0,832,0,865,0,882,0,,,,,,,,,,
461,14,461,1,461,1,461,1,461,1,461,3,461,3,461,0,461,0,461,1,461,1,461,4,461,6,461,2,461,2,464,1,464,1,464,1,469,0,469,1,473,1,473,0,478,1,478,0,486,1,507,0,524,0,541,1,553,0,562,0,652,0,819,0,836,0,870,0,887,0,,,,,,,,,,
464,14,464,1,464,1,464,1,464,1,464,3,464,3,464,0,464,0,464,1,464,1,464,4,464,7,464,2,464,2,469,1,469,1,469,1,473,0,473,1,478,1,478,0,481,1,481,0,490,1,511,0,528,0,545,1,557,0,566,0,657,0,824,0,841,0,874,0,891,0,,,,,,,,,,
469,14,469,1,469,1,469,1,469,1,469,3,469,3,469,0,469,0,469,1,469,1,469,4,469,7,469,2,469,2,473,1,473,1,473,1,478,0,478,1,481,1,481,0,486,1,486,0,494,1,515,0,532,0,549,0,562,0,570,0,661,0,827,0,845,0,879,0,895,0,,,,,,,,,,
473,14,473,1,473,1,473,1,473,1,473,2,473,3,473,0,473,0,473,1,473,1,473,4,473,7,473,2,473,2,478,1,478,1,478,1,481,0,481,1,486,1,486,0,490,1,490,0,498,1,519,0,537,0,553,0,566,0,574,0,666,0,832,0,849,0,882,0,899,0,,,,,,,,,,
478,14,478,1,478,1,478,1,478,1,478,2,478,2,478,0,478,0,478,1,478,1,478,4,478,7,478,2,478,2,481,1,481,1,481,1,486,0,486,1,490,1,490,0,494,1,494,0,503,0,524,0,541,0,557,0,570,0,578,0,670,0,836,0,854,0,887,0,904,0,,,,,,,,,,
481,14,481,1,481,1,481,1,481,1,481,2,481,2,481,1,481,0,481,1,481,1,481,3,481,5,481,2,481,2,486,1,486,1,486,1,490,0,490,1,494,1,494,0,498,1,498,0,507,0,528,0,545,0,562,0,574,0,583,0,674,0,841,0,857,0,891,0,908,0,,,,,,,,,,
486,14,486,1,486,1,486,1,486,1,486,2,486,2,486,1,486,0,486,1,486,1,486,4,486,5,486,2,486,2,490,1,490,1,490,1,494,0,494,1,498,1,498,0,503,1,503,0,511,1,532,0,549,0,566,0,578,0,587,0,679,0,845,0,861,0,895,0,,,,,,,,,,,,
490,14,490,1,490,1,490,1,490,1,490,2,490,2,490,1,490,0,490,1,490,1,490,4,490,5,490,2,490,2,494,1,494,1,494,1,498,0,498,1,503,1,503,0,507,0,507,0,515,1,537,0,553,0,570,0,583,0,591,0,683,0,849,0,865,0,899,0,,,,,,,,,,,,
494,14,494,1,494,1,494,1,494,1,494,2,494,2,494,1,494,0,494,1,494,2,494,4,494,5,494,2,494,2,498,1,498,1,498,1,503,0,503,1,507,1,507,0,511,0,511,0,519,1,541,0,557,0,574,0,587,0,595,0,687,0,854,0,870,0,904,0,,,,,,,,,,,,
498,14,498,1,498,1,498,1,498,0,498,2,498,2,498,1,498,0,498,1,498,2,498,4,498,4,498,2,498,2,503,1,503,1,503,1,507,0,507,1,511,0,511,0,515,0,515,0,524,1,545,0,562,0,578,0,591,0,599,0,692,0,857,0,874,0,908,0,,,,,,,,,,,,
503,14,503,1,503,1,503,1,503,0,503,2,503,2,503,1,503,0,503,1,503,2,503,4,503,7,503,2,503,2,507,1,507,1,507,1,511,0,511,1,515,0,515,0,519,0,519,0,528,1,549,1,566,0,583,0,595,0,603,0,696,0,861,0,879,0,,,,,,,,,,,,,,
507,14,507,1,507,1,507,1,507,0,507,2,507,2,507,1,507,1,507,1,507,2,507,4,507,6,507,1,507,1,511,1,511,1,511,0,515,0,515,1,519,0,519,0,524,0,524,0,532,1,553,1,570,0,587,0,599,0,609,0,700,0,865,0,882,0,,,,,,,,,,,,,,
511,14,511,1,511,2,511,1,511,0,511,4,511,2,511,1,511,1,511,1,511,2,511,4,511,6,511,1,511,1,515,1,515,1,515,0,519,0,519,1,524,1,524,0,528,0,528,0,537,2,557,1,574,0,591,0,603,0,614,0,705,0,870,0,887,0,,,,,,,,,,,,,,
515,14,515,1,515,2,515,1,515,0,515,4,515,2,515,1,515,1,515,1,515,2,515,3,515,6,515,1,515,2,519,1,519,1,519,1,524,0,524,1,528,1,528,0,532,0,532,0,541,2,562,1,578,0,595,0,609,0,618,0,709,0,874,0,891,0,,,,,,,,,,,,,,
519,14,519,1,519,2,519,1,519,0,519,4,519,2,519,1,519,1,519,1,519,2,519,3,519,6,519,1,519,2,524,1,524,1,524,1,528,0,528,1,532,1,532,0,537,0,537,0,545,2,566,1,583,0,599,0,614,0,622,0,713,0,879,0,895,0,,,,,,,,,,,,,,
524,14,524,1,524,2,524,1,524,0,524,4,524,2,524,1,524,1,524,1,524,2,524,3,524,7,524,1,524,2,528,1,528,1,528,1,532,0,532,1,537,1,537,0,541,0,541,0,549,2,570,1,587,0,603,0,618,0,626,0,717,0,882,0,899,0,,,,,,,,,,,,,,
528,14,528,1,528,2,528,1,528,0,528,4,528,2,528,1,528,1,528,2,528,2,528,3,528,7,528,1,528,2,532,1,532,1,532,2,537,0,537,1,541,1,541,0,545,0,545,0,553,2,574,1,591,0,609,0,622,0,631,0,722,0,887,0,904,0,,,,,,,,,,,,,,
532,14,532,1,532,2,532,1,532,1,532,6,532,2,532,1,532,1,532,2,532,2,532,3,532,7,532,1,532,2,537,1,537,1,537,2,541,0,541,1,545,1,545,0,549,0,549,0,557,1,578,1,595,0,614,0,626,0,635,0,726,0,891,0,908,0,,,,,,,,,,,,,,
537,14,537,1,537,2,537,1,537,1,537,6,537,2,537,1,537,1,537,2,537,2,537,3,537,7,537,1,537,2,541,1,541,1,541,2,545,0,545,1,549,1,549,0,553,0,553,0,562,1,583,1,599,0,618,0,631,0,639,0,730,0,895,0,,,,,,,,,,,,,,,,
541,14,541,1,541,2,541,1,541,1,541,6,541,2,541,1,541,1,541,2,541,2,541,3,541,8,541,1,541,2,545,1,545,1,545,2,549,0,549,1,553,1,553,0,557,0,557,0,566,1,587,1,603,0,622,0,635,0,644,0,734,0,899,0,,,,,,,,,,,,,,,,
545,12,545,1,545,2,545,1,545,1,545,6,545,2,545,1,545,1,545,2,545,2,545,3,545,8,545,1,545,2,549,1,549,1,549,2,553,0,553,1,557,1,557,1,562,0,562,0,570,1,591,1,609,0,626,0,639,0,648,0,739,0,904,0,,,,,,,,,,,,,,,,
549,12,549,1,549,2,549,1,549,1,549,6,549,2,549,1,549,1,549,2,549,2,549,3,549,6,549,1,549,2,553,1,553,1,553,2,557,0,557,1,562,1,562,1,566,0,566,0,574,2,595,0,614,0,631,0,644,0,652,0,743,0,908,0,,,,,,,,,,,,,,,,
553,12,553,1,553,2,553,1,553,1,553,6,553,2,553,1,553,1,553,2,553,2,553,3,553,5,553,1,553,2,557,1,557,1,557,2,562,0,562,1,566,1,566,1,570,0,570,0,578,2,599,0,618,0,635,0,648,0,657,0,747,0,,,,,,,,,,,,,,,,,,
557,12,557,1,557,2,557,1,557,1,557,5,557,2,557,1,557,1,557,2,557,2,557,3,557,6,557,1,557,2,562,1,562,1,562,2,566,0,566,1,570,0,570,1,574,0,574,0,583,2,603,0,622,0,639,0,652,0,661,0,751,0,,,,,,,,,,,,,,,,,,
562,12,562,1,562,2,562,1,562,1,562,5,562,2,562,1,562,1,562,2,562,2,562,3,562,6,562,1,562,2,566,1,566,1,566,1,570,0,570,1,574,0,574,1,578,0,578,0,587,2,609,0,626,0,644,0,657,0,666,0,755,0,,,,,,,,,,,,,,,,,,
566,12,566,1,566,1,566,1,566,1,566,5,566,2,566,1,566,1,566,2,566,2,566,3,566,7,566,1,566,2,570,1,570,1,570,1,574,0,574,1,578,0,578,1,583,0,583,0,591,2,614,0,631,0,648,0,661,0,670,0,760,0,,,,,,,,,,,,,,,,,,
570,12,570,1,570,1,570,1,570,1,570,5,570,2,570,1,570,1,570,2,570,2,570,3,570,5,570,1,570,2,574,1,574,1,574,1,578,0,578,1,583,0,583,1,587,0,587,0,595,2,618,0,635,0,652,0,666,0,674,0,764,0,,,,,,,,,,,,,,,,,,
574,12,574,1,574,1,574,1,574,1,574,6,574,2,574,1,574,1,574,1,574,2,574,3,574,6,574,1,574,2,578,1,578,1,578,1,583,0,583,1,587,0,587,1,591,0,591,0,599,2,622,0,639,0,657,0,670,0,679,0,768,0,,,,,,,,,,,,,,,,,,
578,12,578,1,578,1,578,1,578,0,578,5,578,2,578,1,578,1,578,1,578,2,578,3,578,6,578,1,578,2,583,1,583,1,583,1,587,0,587,0,591,0,591,1,595,0,595,0,603,2,626,0,644,0,661,0,674,0,683,0,773,0,,,,,,,,,,,,,,,,,,
583,12,583,1,583,1,583,1,583,0,583,5,583,2,583,1,583,1,583,1,583,2,583,3,583,6,583,1,583,2,587,1,587,1,587,1,591,0,591,1,595,0,595,1,599,0,599,0,609,2,631,0,648,0,666,0,679,0,687,0,776,0,,,,,,,,,,,,,,,,,,
587,12,587,1,587,1,587,1,587,1,587,4,587,2,587,1,587,1,587,1,587,2,587,3,587,4,587,1,587,2,591,1,591,1,591,1,595,0,595,1,599,0,599,1,603,0,603,0,614,2,635,0,652,0,670,0,683,0,692,0,781,0,,,,,,,,,,,,,,,,,,
591,12,591,1,591,1,591,1,591,1,591,4,591,2,591,0,591,1,591,1,591,2,591,3,591,4,591,1,591,2,595,1,595,1,595,1,599,0,599,1,603,0,603,0,609,0,609,0,618,1,639,0,657,0,674,0,687,0,696,0,785,0,,,,,,,,,,,,,,,,,,
595,12,595,1,595,1,595,1,595,1,595,4,595,1,595,0,595,1,595,1,595,2,595,3,595,4,595,1,595,2,599,1,599,1,599,1,603,0,603,1,609,0,609,0,614,0,614,0,622,1,644,0,661,0,679,0,692,0,700,0,789,0,,,,,,,,,,,,,,,,,,
599,12,599,1,599,1,599,1,599,1,599,4,599,2,599,0,599,1,599,1,599,2,599,3,599,4,599,1,599,2,603,1,603,1,603,1,609,0,609,1,614,0,614,0,618,0,618,0,626,1,648,0,666,0,683,0,696,0,705,0,794,1,,,,,,,,,,,,,,,,,,
603,12,603,1,603,1,603,1,603,1,603,3,603,2,603,0,603,1,603,1,603,2,603,3,603,3,603,1,603,2,609,1,609,1,609,2,614,0,614,1,618,0,618,0,622,1,622,0,631,0,652,0,670,0,687,1,700,0,709,0,798,1,,,,,,,,,,,,,,,,,,
609,12,609,1,609,1,609,1,609,1,609,3,609,2,609,0,609,1,609,1,609,2,609,3,609,3,609,1,609,2,614,1,614,1,614,2,618,0,618,1,622,0,622,0,626,1,626,0,635,0,657,0,674,0,692,1,705,0,713,1,802,1,,,,,,,,,,,,,,,,,,
614,12,614,1,614,1,614,1,614,1,614,3,614,1,614,0,614,1,614,1,614,2,614,3,614,2,614,1,614,2,618,1,618,1,618,2,622,0,622,1,626,0,626,0,631,1,631,0,639,0,661,0,679,0,696,1,709,0,717,1,806,1,,,,,,,,,,,,,,,,,,
618,12,618,1,618,1,618,1,618,1,618,2,618,1,618,0,618,1,618,1,618,2,618,2,618,2,618,0,618,2,622,0,622,1,622,2,626,0,626,1,631,0,631,0,635,1,635,0,644,0,666,0,683,1,700,1,713,0,722,1,810,1,,,,,,,,,,,,,,,,,,
622,12,622,1,622,1,622,1,622,1,622,3,622,1,622,0,622,1,622,1,622,2,622,2,622,2,622,0,622,2,626,0,626,1,626,2,631,0,631,1,635,0,635,0,639,1,639,0,648,0,670,0,687,1,705,1,717,0,726,1,815,1,,,,,,,,,,,,,,,,,,
626,12,626,1,626,1,626,1,626,1,626,3,626,1,626,0,626,1,626,1,626,2,626,2,626,2,626,0,626,2,631,0,631,1,631,2,635,0,635,1,639,0,639,0,644,1,644,0,652,0,674,0,692,1,709,1,722,0,730,1,819,1,,,,,,,,,,,,,,,,,,
631,12,631,1,631,1,631,1,631,1,631,3,631,1,631,0,631,1,631,1,631,2,631,2,631,2,631,0,631,2,635,0,635,1,635,1,639,0,639,1,644,0,644,0,648,1,648,0,657,0,679,0,696,1,713,1,726,0,734,1,824,1,,,,,,,,,,,,,,,,,,
635,12,635,1,635,1,635,1,635,1,635,3,635,1,635,0,635,1,635,0,635,2,635,1,635,2,635,0,635,2,639,0,639,1,639,1,644,1,644,1,648,0,648,0,652,1,652,0,661,0,683,0,700,1,717,1,730,0,739,1,827,1,,,,,,,,,,,,,,,,,,
639,12,639,1,639,1,639,1,639,1,639,3,639,1,639,0,639,1,639,0,639,2,639,1,639,2,639,0,639,2,644,0,644,1,644,1,648,1,648,1,652,0,652,0,657,1,657,1,666,0,687,0,705,1,722,1,734,0,743,1,832,1,,,,,,,,,,,,,,,,,,
644,12,644,1,644,1,644,1,644,1,644,2,644,0,644,0,644,1,644,0,644,2,644,1,644,2,644,0,644,2,648,0,648,1,648,1,652,1,652,1,657,0,657,0,661,1,661,1,670,0,692,0,709,1,726,1,739,0,747,1,836,1,,,,,,,,,,,,,,,,,,
648,10,648,1,648,1,648,1,648,1,648,2,648,0,648,0,648,1,648,0,648,2,648,1,648,2,648,0,648,2,652,0,652,1,652,0,657,1,657,1,661,0,661,0,666,1,666,1,674,0,696,0,713,1,730,1,743,0,751,1,841,1,,,,,,,,,,,,,,,,,,
652,10,652,1,652,1,652,1,652,1,652,2,652,0,652,0,652,1,652,0,652,2,652,2,652,2,652,0,652,2,657,0,657,1,657,0,661,1,661,1,666,0,666,0,670,1,670,1,679,0,700,0,717,1,734,0,747,0,755,1,845,1,,,,,,,,,,,,,,,,,,
657,10,657,1,657,1,657,1,657,1,657,2,657,0,657,0,657,1,657,1,657,2,657,2,657,2,657,0,657,2,661,0,661,1,661,0,666,1,666,1,670,0,670,0,674,1,674,1,683,0,705,0,722,1,739,0,751,0,760,0,849,1,,,,,,,,,,,,,,,,,,
661,10,661,1,661,1,661,1,661,1,661,2,661,0,661,0,661,1,661,2,661,2,661,2,661,2,661,0,661,2,666,0,666,1,666,0,670,1,670,1,674,0,674,0,679,1,679,1,687,0,709,0,726,0,743,0,755,0,764,0,854,0,,,,,,,,,,,,,,,,,,
666,10,666,1,666,1,666,1,666,1,666,3,666,0,666,0,666,1,666,2,666,2,666,3,666,2,666,0,666,2,670,0,670,1,670,0,674,1,674,1,679,0,679,0,683,0,683,1,692,0,713,0,730,0,747,0,760,0,768,0,857,0,,,,,,,,,,,,,,,,,,
670,10,670,1,670,1,670,1,670,1,670,2,670,1,670,0,670,1,670,2,670,2,670,3,670,2,670,0,670,2,674,0,674,1,674,0,679,1,679,1,683,0,683,0,687,0,687,1,696,0,717,0,734,0,751,0,764,0,773,0,861,0,,,,,,,,,,,,,,,,,,
674,10,674,1,674,1,674,1,674,1,674,2,674,1,674,0,674,1,674,2,674,2,674,3,674,2,674,0,674,2,679,0,679,1,679,0,683,1,683,1,687,0,687,0,692,0,692,1,700,0,722,0,739,0,755,0,768,0,776,0,865,0,,,,,,,,,,,,,,,,,,
679,10,679,1,679,1,679,1,679,1,679,2,679,1,679,1,679,1,679,2,679,2,679,3,679,2,679,0,679,2,683,0,683,1,683,1,687,1,687,1,692,1,692,0,696,0,696,1,705,0,726,0,743,0,760,0,773,0,781,0,870,0,,,,,,,,,,,,,,,,,,
683,10,683,1,683,1,683,1,683,1,683,2,683,1,683,1,683,1,683,2,683,2,683,3,683,2,683,0,683,2,687,0,687,1,687,1,692,0,692,1,696,1,696,0,700,0,700,1,709,0,730,0,747,0,764,0,776,0,785,0,874,0,,,,,,,,,,,,,,,,,,
687,10,687,1,687,1,687,1,687,1,687,2,687,1,687,1,687,1,687,2,687,2,687,3,687,2,687,0,687,2,692,0,692,1,692,1,696,0,696,1,700,1,700,0,705,0,705,0,713,0,734,0,751,0,768,1,781,0,789,0,879,0,,,,,,,,,,,,,,,,,,
692,10,692,0,692,2,692,1,692,1,692,2,692,1,692,1,692,1,692,2,692,2,692,3,692,2,692,0,692,2,696,0,696,1,696,1,700,0,700,1,705,1,705,0,709,0,709,0,717,0,739,0,755,0,773,1,785,0,794,0,882,0,,,,,,,,,,,,,,,,,,
696,10,696,0,696,2,696,1,696,1,696,2,696,1,696,1,696,1,696,2,696,2,696,2,696,2,696,0,696,2,700,0,700,1,700,1,705,0,705,1,709,1,709,0,713,0,713,0,722,0,743,0,760,0,776,1,789,0,798,0,887,0,,,,,,,,,,,,,,,,,,
700,10,700,0,700,2,700,1,700,1,700,2,700,1,700,1,700,1,700,2,700,2,700,2,700,2,700,0,700,2,705,0,705,1,705,1,709,0,709,1,713,1,713,0,717,0,717,0,726,0,747,0,764,0,781,1,794,0,802,0,891,0,,,,,,,,,,,,,,,,,,
705,10,705,0,705,2,705,1,705,1,705,2,705,1,705,1,705,1,705,1,705,2,705,2,705,2,705,0,705,2,709,0,709,1,709,1,713,0,713,1,717,1,717,0,722,0,722,0,730,1,751,0,768,0,785,1,798,0,806,0,895,0,,,,,,,,,,,,,,,,,,
709,10,709,0,709,2,709,1,709,1,709,1,709,1,709,1,709,1,709,2,709,2,709,1,709,2,709,0,709,2,713,0,713,1,713,1,717,0,717,1,722,1,722,0,726,0,726,0,734,1,755,0,773,0,789,1,802,0,810,0,899,0,,,,,,,,,,,,,,,,,,
713,10,713,0,713,2,713,1,713,1,713,1,713,1,713,1,713,1,713,2,713,2,713,1,713,2,713,0,713,2,717,0,717,1,717,1,722,0,722,1,726,1,726,0,730,0,730,0,739,1,760,0,776,0,794,1,806,0,815,0,904,0,,,,,,,,,,,,,,,,,,
717,10,717,0,717,2,717,1,717,1,717,1,717,1,717,1,717,1,717,2,717,2,717,1,717,2,717,0,717,2,722,0,722,1,722,1,726,0,726,1,730,1,730,0,734,0,734,0,743,1,764,0,781,0,798,1,810,0,819,0,908,0,,,,,,,,,,,,,,,,,,
722,10,722,0,722,2,722,1,722,0,722,1,722,1,722,1,722,1,722,2,722,2,722,1,722,2,722,0,722,2,726,0,726,1,726,1,730,0,730,1,734,1,734,0,739,0,739,0,747,1,768,0,785,0,802,1,815,0,824,0,,,,,,,,,,,,,,,,,,,,
